Estadio,Equipo,Capacidad,Espectadores,Promedio,Partidos,Lleno,Máximo rendimiento,Temporada
Turf Moor,Burnley FC,21994,393080,20688,19,0.0,94.1,2017
Swansea.com Stadium,Swansea City,21088,391827,20622,19,0.0,97.8,2017
Vicarage Road,Watford FC,21577,384385,20231,19,0.0,93.8,2017
Vitality Stadium,AFC Bournemouth,11329,202154,10640,19,0.0,93.9,2017
Old Trafford,Manchester United,74879,1415471,74498,19,0.0,99.5,2018
Emirates Stadium,Arsenal FC,60704,1138072,59899,19,0.0,98.7,2018
London Stadium,West Ham United,62500,1108375,58336,19,0.0,93.3,2018
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,1030111,54216,19,0.0,86.3,2018
Etihad Stadium,Manchester City,55017,1028477,54130,19,0.0,98.4,2018
Anfield,Liverpool FC,60725,1006668,52983,19,0.0,87.3,2018
St James' Park,Newcastle United,52338,971297,51121,19,0.0,97.7,2018
Stamford Bridge,Chelsea FC,40853,768387,40441,19,0.0,99.0,2018
Goodison Park,Everton FC,39571,741815,39043,19,0.0,98.7,2018
King Power Stadium,Leicester City,32273,605161,31851,19,0.0,98.7,2018
Cardiff City Stadium,Cardiff City,33280,596751,31408,19,0.0,94.4,2018
Molineux Stadium,Wolverhampton Wanderers,32050,589472,31025,19,1.0,96.8,2018
AMEX Stadium,Brighton & Hove Albion,31800,578085,30426,19,0.0,95.7,2018
St Mary's Stadium,Southampton FC,32384,572640,30139,19,0.0,93.1,2018
Selhurst Park,Crystal Palace,26047,483644,25455,19,0.0,97.7,2018
Craven Cottage,Fulham FC,25700,463051,24371,19,0.0,94.8,2018
John Smith's Stadium,Huddersfield Town,24500,443456,23340,19,0.0,95.3,2018
Turf Moor,Burnley FC,21994,390148,20534,19,0.0,93.4,2018
Vicarage Road,Watford FC,21577,380297,20016,19,0.0,92.8,2018
Vitality Stadium,AFC Bournemouth,11329,200107,10532,19,0.0,93.0,2018
Old Trafford,Manchester United,74879,1090656,72710,15,0.0,97.1,2019
Emirates Stadium,Arsenal FC,60704,904188,60279,15,2.0,99.3,2019
London Stadium,West Ham United,62500,838943,59925,14,2.0,95.9,2019
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,831374,59384,14,0.0,94.5,2019
Anfield,Liverpool FC,60725,797143,53143,15,0.0,87.5,2019
Etihad Stadium,Manchester City,55017,704846,54219,13,0.0,98.6,2019
St James' Park,Newcastle United,52338,675471,48248,14,0.0,92.2,2019
Stamford Bridge,Chelsea FC,40853,608444,40563,15,0.0,99.3,2019
Goodison Park,Everton FC,39571,548103,39150,14,0.0,98.9,2019
Villa Park,Aston Villa,42682,541594,41661,13,0.0,97.6,2019
King Power Stadium,Leicester City,32273,480920,32061,15,0.0,99.3,2019
Molineux Stadium,Wolverhampton Wanderers,32050,470407,31360,15,0.0,97.9,2019
Bramall Lane,Sheffield United,32702,463569,30905,15,0.0,94.5,2019
St Mary's Stadium,Southampton FC,32384,445129,29675,15,0.0,91.6,2019
AMEX Stadium,Brighton & Hove Albion,31800,424986,30356,14,0.0,95.5,2019
Carrow Road,Norwich City,27244,378303,27022,14,0.0,99.2,2019
Selhurst Park,Crystal Palace,26047,375902,25060,15,0.0,96.2,2019
Turf Moor,Burnley FC,21994,303899,20260,15,0.0,92.1,2019
Vicarage Road,Watford FC,21577,291713,20837,14,1.0,96.6,2019
Vitality Stadium,AFC Bournemouth,11329,147146,10510,14,0.0,92.8,2019
Anfield,Liverpool FC,60725,16000,4000,4,0.0,6.6,2020
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,12000,6000,2,0.0,9.6,2020
London Stadium,West Ham United,62500,12000,6000,2,0.0,9.6,2020
AMEX Stadium,Brighton & Hove Albion,31800,11945,3982,3,0.0,12.5,2020
Goodison Park,Everton FC,39571,10068,3356,3,0.0,8.5,2020
Emirates Stadium,Arsenal FC,60704,10000,10000,1,0.0,16.5,2020
St James' Park,Newcastle United,52338,10000,10000,1,0.0,19.1,2020
Old Trafford,Manchester United,74879,10000,10000,1,0.0,13.4,2020
Etihad Stadium,Manchester City,55017,10000,10000,1,0.0,18.2,2020
Stamford Bridge,Chelsea FC,40853,9195,4598,2,0.0,11.3,2020
Selhurst Park,Crystal Palace,26047,8500,4250,2,0.0,16.3,2020
Elland Road,Leeds United,37890,8000,8000,1,0.0,21.1,2020
King Power Stadium,Leicester City,32273,8000,8000,1,0.0,24.8,2020
The Hawthorns,West Bromwich Albion,26850,5371,5371,1,0.0,20.0,2020
Bramall Lane,Sheffield United,32702,5096,5096,1,0.0,15.6,2020
St Mary's Stadium,Southampton FC,32384,4000,2000,2,0.0,6.2,2020
Craven Cottage,Fulham FC,25700,4000,2000,2,0.0,7.8,2020
Turf Moor,Burnley FC,21994,3500,3500,1,0.0,15.9,2020
Molineux Stadium,Wolverhampton Wanderers,32050,0,0,0,0.0,0.0,2020
Villa Park,Aston Villa,42682,0,0,0,0.0,0.0,2020
Old Trafford,Manchester United,74879,1389856,73150,19,0.0,97.7,2021
Emirates Stadium,Arsenal FC,60704,1136406,59811,19,0.0,98.5,2021
London Stadium,West Ham United,62500,1112814,58569,19,1.0,93.7,2021
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,1073936,56523,19,0.0,89.9,2021
Anfield,Liverpool FC,60725,1007153,53008,19,0.0,87.3,2021
Etihad Stadium,Manchester City,55017,1002028,52738,19,0.0,95.9,2021
St James' Park,Newcastle United,52338,978251,51487,19,0.0,98.4,2021
Goodison Park,Everton FC,39571,738758,38882,19,0.0,98.3,2021
Villa Park,Aston Villa,42682,708067,41651,17,0.0,97.6,2021
Stamford Bridge,Chelsea FC,40853,692419,36443,19,0.0,89.2,2021
Elland Road,Leeds United,37890,653140,36286,18,0.0,95.8,2021
King Power Stadium,Leicester City,32273,606869,31940,19,0.0,99.0,2021
AMEX Stadium,Brighton & Hove Albion,31800,587918,30943,19,0.0,97.3,2021
Molineux Stadium,Wolverhampton Wanderers,32050,521772,30692,17,0.0,95.8,2021
Selhurst Park,Crystal Palace,26047,461349,24282,19,0.0,93.2,2021
St Mary's Stadium,Southampton FC,32384,448223,29882,15,0.0,92.3,2021
Carrow Road,Norwich City,27244,430124,26883,16,0.0,98.7,2021
Vicarage Road,Watford FC,21577,391369,20598,19,0.0,95.5,2021
Turf Moor,Burnley FC,21994,347708,19317,18,0.0,87.8,2021
Gtech Community Stadium,Brentford FC,17250,304327,16907,18,0.0,98.0,2021
Old Trafford,Manchester United,74879,1402481,73815,19,1.0,98.6,2022
London Stadium,West Ham United,62500,1186777,62462,19,0.0,99.9,2022
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,1170118,61585,19,0.0,98.0,2022
Emirates Stadium,Arsenal FC,60704,1143626,60191,19,0.0,99.2,2022
Etihad Stadium,Manchester City,55017,1011732,53249,19,0.0,96.8,2022
Anfield,Liverpool FC,60725,1010488,53184,19,0.0,87.6,2022
St James' Park,Newcastle United,52338,990422,52127,19,0.0,99.6,2022
Villa Park,Aston Villa,42682,792431,41707,19,0.0,97.7,2022
Stamford Bridge,Chelsea FC,40853,760039,40002,19,0.0,97.9,2022
Goodison Park,Everton FC,39571,745571,39241,19,0.0,99.2,2022
Elland Road,Leeds United,37890,694759,36566,19,0.0,96.5,2022
King Power Stadium,Leicester City,32273,605857,31887,19,0.0,98.8,2022
AMEX Stadium,Brighton & Hove Albion,31800,598061,31477,19,0.0,99.0,2022
Molineux Stadium,Wolverhampton Wanderers,32050,597044,31423,19,0.0,98.0,2022
St Mary's Stadium,Southampton FC,32384,577895,30416,19,0.0,93.9,2022
The City Ground,Nottingham Forest,30445,554570,29188,19,0.0,95.9,2022
Selhurst Park,Crystal Palace,26047,475975,25051,19,0.0,96.2,2022
Craven Cottage,Fulham FC,25700,451549,23766,19,12.0,92.5,2022
Gtech Community Stadium,Brentford FC,17250,324527,17080,19,0.0,99.0,2022
Vitality Stadium,AFC Bournemouth,11329,195829,10307,19,0.0,91.0,2022
Old Trafford,Manchester United,74879,1397148,73534,19,0.0,98.2,2023
London Stadium,West Ham United,62500,1186367,62440,19,0.0,99.9,2023
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,1167725,61459,19,0.0,97.8,2023
Emirates Stadium,Arsenal FC,60704,1144488,60236,19,0.0,99.2,2023
Anfield,Liverpool FC,60725,1060362,55809,19,0.0,91.9,2023
Etihad Stadium,Manchester City,55017,1012469,53288,19,1.0,96.9,2023
St James' Park,Newcastle United,52338,990904,52153,19,0.0,99.7,2023
Villa Park,Aston Villa,42682,796501,41921,19,0.0,98.2,2023
Stamford Bridge,Chelsea FC,40853,751952,39576,19,0.0,96.9,2023
Goodison Park,Everton FC,39571,741793,39042,19,0.0,98.7,2023
AMEX Stadium,Brighton & Hove Albion,31800,599319,31543,19,0.0,99.2,2023
Molineux Stadium,Wolverhampton Wanderers,32050,589697,31037,19,0.0,96.8,2023
Bramall Lane,Sheffield United,32702,569271,29962,19,0.0,91.6,2023
The City Ground,Nottingham Forest,30445,558326,29386,19,0.0,96.5,2023
Selhurst Park,Crystal Palace,26047,472742,24881,19,0.0,95.5,2023
Craven Cottage,Fulham FC,25700,461722,24301,19,0.0,94.6,2023
Turf Moor,Burnley FC,21994,401903,21153,19,0.0,96.2,2023
Gtech Community Stadium,Brentford FC,17250,324565,17082,19,0.0,99.0,2023
Kenilworth Road,Luton Town,11850,213636,11244,19,0.0,94.9,2023
Vitality Stadium,AFC Bournemouth,11329,210868,11098,19,1.0,98.0,2023
