temporada,id_jugador,nombre_jugador,edad,nacionalidad,equipo,partidos_jugados,minutos,goles,tarjetas_amarillas,tarjetas_rojas
2022,1460,B. Saka,21.0,England,Arsenal FC,38.0,3194.0,14.0,6.0,0.0
2022,2289,Jorginho,31.0,Italy,Arsenal FC,14.0,853.0,0.0,0.0,0.0
2022,2597,T. Tomiyasu,24.0,Japan,Arsenal FC,21.0,652.0,0.0,2.0,0.0
2022,2937,D. Rice,23.0,England,West Ham United,37.0,3272.0,4.0,5.0,0.0
2022,19354,E. Konsa,25.0,England,Aston Villa,38.0,3322.0,0.0,6.0,0.0
2022,19599,E. Martínez,30.0,Argentina,Aston Villa,36.0,3141.0,0.0,7.0,0.0
2022,19959,B. White,25.0,England,Arsenal FC,38.0,3067.0,2.0,5.0,0.0
2022,22224,Gabriel Magalhães,25.0,Brazil,Arsenal FC,38.0,3411.0,3.0,5.0,0.0
2022,37127,M. Ødegaard,24.0,Norway,Arsenal FC,37.0,3149.0,15.0,4.0,0.0
2022,61431,J. Kiwior,22.0,Poland,Arsenal FC,7.0,427.0,1.0,0.0,0.0
2022,127769,Gabriel Martinelli,21.0,Brazil,Arsenal FC,36.0,2806.0,15.0,3.0,0.0
2022,148270,O. Zych,18.0,Poland,Aston Villa,0.0,0.0,0.0,0.0,0.0
2022,153407,N. Butler-Oyedeji,19.0,England,Arsenal FC,0.0,0.0,0.0,0.0,0.0
2022,313236,E. Nwaneri,15.0,England,Arsenal FC,1.0,0.0,0.0,0.0,0.0
2022,247,C. Gakpo,23.0,Netherlands,Liverpool FC,21.0,1465.0,7.0,0.0,0.0
2022,280,Alisson Becker,30.0,Brazil,Liverpool FC,37.0,3330.0,0.0,1.0,0.0
2022,283,T. Alexander-Arnold,24.0,England,Liverpool FC,37.0,2931.0,2.0,5.0,0.0
2022,284,J. Gomez,25.0,England,Liverpool FC,21.0,1460.0,0.0,3.0,0.0
2022,289,A. Robertson,28.0,Scotland,Liverpool FC,34.0,2587.0,0.0,3.0,0.0
2022,290,V. van Dijk,31.0,Netherlands,Liverpool FC,32.0,2836.0,3.0,3.0,0.0
2022,293,C. Jones,21.0,England,Liverpool FC,18.0,1039.0,3.0,2.0,0.0
2022,306,Mohamed Salah,30.0,Egypt,Liverpool FC,38.0,3297.0,19.0,2.0,0.0
2022,1100,E. Haaland,22.0,Norway,Manchester City,35.0,2779.0,36.0,5.0,0.0
2022,1117,K. Tierney,25.0,Scotland,Arsenal FC,27.0,777.0,0.0,0.0,0.0
2022,1600,K. Tsimikas,26.0,Greece,Liverpool FC,20.0,768.0,0.0,3.0,0.0
2022,2489,L. Díaz,25.0,Colombia,Liverpool FC,17.0,996.0,4.0,2.0,0.0
2022,2678,Diogo Jota,26.0,Portugal,Liverpool FC,22.0,1131.0,7.0,2.0,0.0
2022,6716,A. Mac Allister,24.0,Argentina,Brighton & Hove Albion,35.0,2886.0,10.0,8.0,0.0
2022,19035,H. Elliott,19.0,England,Liverpool FC,32.0,1613.0,1.0,2.0,0.0
2022,51617,D. Núñez,23.0,Uruguay,Liverpool FC,29.0,1699.0,9.0,1.0,1.0
2022,158698,J. Quansah,19.0,England,Liverpool FC,0.0,0.0,0.0,0.0,0.0
2022,180316,H. Davies,19.0,England,Liverpool FC,0.0,0.0,0.0,0.0,0.0
2022,44,Rodri,26.0,Spain,Manchester City,36.0,2920.0,2.0,5.0,0.0
2022,617,Ederson,29.0,Brazil,Manchester City,35.0,3150.0,0.0,3.0,0.0
2022,626,J. Stones,28.0,England,Manchester City,23.0,1849.0,2.0,2.0,0.0
2022,627,K. Walker,32.0,England,Manchester City,27.0,1957.0,0.0,3.0,0.0
2022,629,K. De Bruyne,31.0,Belgium,Manchester City,32.0,2425.0,7.0,1.0,0.0
2022,631,P. Foden,22.0,England,Manchester City,32.0,1844.0,11.0,1.0,0.0
2022,633,İ. Gündoğan,32.0,Germany,Manchester City,31.0,2359.0,8.0,0.0,0.0
2022,636,Bernardo Silva,28.0,Portugal,Manchester City,34.0,2203.0,4.0,5.0,0.0
2022,2291,M. Kovačić,28.0,Croatia,Chelsea FC,27.0,1704.0,1.0,8.0,0.0
2022,18861,N. Aké,27.0,Netherlands,Manchester City,26.0,1875.0,1.0,2.0,0.0
2022,18902,Kenedy,26.0,Brazil,Chelsea FC,0.0,0.0,0.0,0.0,0.0
2022,19187,J. Grealish,27.0,England,Manchester City,28.0,2062.0,5.0,4.0,0.0
2022,19197,S. Carson,37.0,England,Manchester City,0.0,0.0,0.0,0.0,0.0
2022,25004,S. Ortega,30.0,Germany,Manchester City,3.0,270.0,0.0,0.0,0.0
2022,169295,K. Hein,20.0,Estonia,Arsenal FC,0.0,0.0,0.0,0.0,0.0
2022,278128,J. Wilson-Esbrand,20.0,England,Manchester City,0.0,0.0,0.0,0.0,0.0
2022,278133,O. Bobb,19.0,Norway,Manchester City,0.0,0.0,0.0,0.0,0.0
2022,307123,N. O&apos;Reilly,17.0,England,Manchester City,0.0,0.0,0.0,0.0,0.0
2022,23,Sergio Gómez,22.0,Spain,Manchester City,12.0,340.0,0.0,0.0,0.0
2022,83,A. Danjuma,25.0,Netherlands,Tottenham Hotspur,9.0,162.0,1.0,0.0,0.0
2022,158,P. Gazzaniga,30.0,Argentina,Fulham FC,0.0,0.0,0.0,0.0,0.0
2022,547,D. van de Beek,25.0,Netherlands,Manchester United,7.0,164.0,0.0,0.0,0.0
2022,886,Diogo Dalot,23.0,Portugal,Manchester United,26.0,2155.0,1.0,6.0,0.0
2022,889,V. Lindelöf,28.0,Sweden,Manchester United,20.0,1360.0,0.0,1.0,0.0
2022,891,L. Shaw,27.0,England,Manchester United,31.0,2557.0,1.0,8.0,0.0
2022,1464,G. Xhaka,30.0,Switzerland,Arsenal FC,37.0,3004.0,7.0,5.0,0.0
2022,2061,Bryan Gil,21.0,Spain,Tottenham Hotspur,4.0,148.0,0.0,1.0,0.0
2022,2278,Marcos Alonso,32.0,Spain,Chelsea FC,0.0,0.0,0.0,0.0,0.0
2022,2935,H. Maguire,29.0,England,Manchester United,16.0,759.0,0.0,4.0,0.0
2022,18896,Javier Manquillo,28.0,Spain,Newcastle United,4.0,33.0,0.0,0.0,0.0
