season,player_id,player_name,age,nationality,team,games_played,minutes,goals,assists,yellow_cards,red_cards
2021,883,L. Grant,39.0,England,Manchester United,0.0,0.0,0.0,,0.0,0.0
2021,1093,E. Mwepu,24.0,Zambia,Brighton,18.0,997.0,2.0,4.0,2.0,0.0
2021,2275,W. Caballero,42.0,Argentina,Southampton,2.0,180.0,0.0,,1.0,0.0
2021,18826,M. Noble,35.0,England,West Ham,11.0,326.0,1.0,,0.0,0.0
2021,18849,J. McArthur,36.0,Scotland,Crystal Palace,21.0,1437.0,0.0,3.0,4.0,0.0
2021,18912,P. Bardsley,38.0,Scotland,Burnley,0.0,0.0,0.0,,0.0,0.0
2021,18916,M. Lowton,34.0,England,Burnley,25.0,1771.0,1.0,2.0,3.0,1.0
2021,18936,R. Bertrand,34.0,England,Leicester,4.0,338.0,0.0,,1.0,0.0
2021,18956,S. Long,36.0,Republic of Ireland,Southampton,13.0,301.0,1.0,,1.0,0.0
2021,18977,D. Stephens,33.0,England,Burnley,3.0,122.0,0.0,,1.0,0.0
2021,19629,D. Martin,37.0,England,West Ham,0.0,0.0,0.0,,0.0,0.0
2021,20126,J. Sinclair,25.0,England,Watford,,,,,,
2021,45074,B. Graham,36.0,Scotland,Partick,0.0,0.0,0.0,,0.0,0.0
2021,45325,C. McKenna,25.0,Scotland,Partick,0.0,0.0,0.0,,0.0,0.0
2021,90497,W. Reid,34.0,New Zealand,West Ham,0.0,0.0,0.0,,0.0,0.0
2021,152963,O. Otasowie,22.0,USA,Wolves,0.0,0.0,0.0,,0.0,0.0
2021,154793,Jamie Patrick Bowden,22.0,Republic of Ireland,Tottenham,0.0,0.0,0.0,,0.0,0.0
2021,314661,J. Danns,,England,Liverpool,,,,,,
2021,348461,S. Willock,20.0,England,Walsall,0.0,0.0,0.0,,0.0,0.0
2021,348463,Jacob Bunch,0.0,England,Swindon Town,0.0,0.0,0.0,,0.0,0.0
2021,167,D. Rose,32.0,England,Watford,8.0,689.0,0.0,,4.0,0.0
2021,630,F. Delph,33.0,England,Everton,11.0,665.0,0.0,,2.0,0.0
2021,888,P. Jones,31.0,England,Manchester United,4.0,162.0,0.0,,0.0,0.0
2021,18769,T. Walcott,34.0,England,Southampton,9.0,380.0,0.0,,0.0,0.0
2021,18770,E. Jakupović,39.0,Switzerland,Leicester,0.0,0.0,0.0,,0.0,0.0
2021,18791,B. Foster,40.0,England,Watford,26.0,2340.0,0.0,1.0,0.0,0.0
2021,18793,C. Cathcart,34.0,Northern Ireland,Watford,31.0,2395.0,0.0,1.0,3.0,0.0
2021,18804,T. Cleverley,34.0,England,Watford,28.0,1623.0,0.0,2.0,2.0,0.0
2021,18840,M. Kelly,34.0,England,Crystal Palace,0.0,0.0,0.0,,0.0,0.0
2021,18874,D. Gosling,34.0,England,Watford,4.0,165.0,1.0,,0.0,0.0
2021,18887,R. Elliot,37.0,Republic of Ireland,Watford,0.0,0.0,0.0,,0.0,0.0
2021,18922,J. Cork,35.0,England,Burnley,20.0,1676.0,1.0,,4.0,0.0
2021,18925,A. Lennon,35.0,England,Burnley,28.0,1548.0,2.0,,2.0,0.0
2021,19126,S. Dallas,33.0,Northern Ireland,Leeds,34.0,2922.0,1.0,1.0,5.0,0.0
2021,20220,A. Jakubiak,28.0,Scotland,Partick,0.0,0.0,0.0,,0.0,0.0
2021,21383,E. Pieters,36.0,Netherlands,Burnley,12.0,727.0,0.0,1.0,1.0,0.0
2021,22010,S. Ojo,27.0,England,Liverpool,0.0,0.0,0.0,,0.0,0.0
2021,45285,D. Brownlie,30.0,Scotland,Partick,0.0,0.0,0.0,,0.0,0.0
2021,138919,T. Dickson-Peters,22.0,Scotland,Norwich,0.0,0.0,0.0,,0.0,0.0
2021,284208,J. McGlynn,22.0,Scotland,Burnley,0.0,0.0,0.0,,0.0,0.0
2021,172,D. Alli,28.0,England,Everton,11.0,329.0,0.0,,3.0,0.0
2021,190,Cédric Soares,33.0,Portugal,Arsenal,21.0,1486.0,1.0,1.0,3.0,0.0
2021,286,J. Matip,33.0,Cameroon,Liverpool,31.0,2790.0,3.0,3.0,2.0,0.0
2021,507,Thiago Alcântara,33.0,Spain,Liverpool,25.0,1538.0,1.0,4.0,2.0,0.0
2021,1735,A. Firth,28.0,England,Partick,0.0,0.0,0.0,,0.0,0.0
2021,1972,L. Karius,31.0,Germany,Liverpool,0.0,0.0,0.0,,0.0,0.0
2021,2699,S. Ghoddos,31.0,Iran,Brentford,17.0,527.0,1.0,1.0,2.0,0.0
2021,2991,C. Kouyaté,35.0,Senegal,Crystal Palace,27.0,1978.0,0.0,1.0,3.0,0.0
2021,18777,M. Albrighton,35.0,England,Leicester,17.0,1126.0,1.0,2.0,3.0,0.0
2021,18815,R. Fredericks,32.0,England,West Ham,7.0,304.0,0.0,,1.0,0.0
2021,18836,W. Hennessey,37.0,Wales,Burnley,2.0,180.0,0.0,,0.0,0.0
2021,18844,J. Tomkins,35.0,England,Crystal Palace,8.0,546.0,1.0,,2.0,0.0
2021,18891,C. Clark,35.0,Republic of Ireland,Newcastle,13.0,1015.0,0.0,1.0,2.0,1.0
2021,18892,P. Dummett,33.0,Wales,Newcastle,3.0,198.0,0.0,,2.0,0.0
2021,18924,J. Hendrick,32.0,Republic of Ireland,Newcastle,3.0,70.0,1.0,,0.0,0.0
2021,19062,M. McGovern,40.0,Northern Ireland,Norwich,0.0,0.0,0.0,,0.0,0.0
2021,19229,D. Randolph,37.0,Republic of Ireland,West Ham,0.0,0.0,0.0,,0.0,0.0
