season,player_id,player_name,age,nationality,team,games_played,minutes,goals,assists,yellow_cards,red_cards
2018,298,Rafael Camacho,23,Portugal,Liverpool,1.0,0.0,0.0,,0.0,0.0
2018,883,L. Grant,39,England,Manchester United,0.0,0.0,0.0,,0.0,0.0
2018,3423,C. Atsu,31,Ghana,Newcastle,28.0,1487.0,1.0,,2.0,0.0
2018,18774,W. Morgan,37,Jamaica,Leicester,22.0,1926.0,3.0,,3.0,0.0
2018,18826,M. Noble,35,England,West Ham,31.0,2308.0,5.0,5.0,6.0,1.0
2018,18837,J. Speroni,42,Argentina,Crystal Palace,1.0,90.0,0.0,,0.0,0.0
2018,18839,S. Dann,36,England,Crystal Palace,10.0,660.0,0.0,1.0,1.0,0.0
2018,18864,Charlie John Daniels,36,England,Bournemouth,21.0,1583.0,1.0,,4.0,0.0
2018,18865,S. Francis,35,England,Bournemouth,17.0,1226.0,0.0,2.0,1.0,0.0
2018,18879,Andrew Surman,35,England,Bournemouth,18.0,1438.0,0.0,,2.0,0.0
2018,18916,M. Lowton,34,England,Burnley,21.0,1748.0,0.0,,7.0,0.0
2018,18956,S. Long,36,Republic of Ireland,Southampton,26.0,1269.0,5.0,1.0,3.0,0.0
2018,18966,Bruno Saltor,41,Spain,Brighton,14.0,1136.0,0.0,1.0,2.0,0.0
2018,18977,D. Stephens,33,England,Brighton,30.0,2487.0,1.0,1.0,6.0,1.0
2018,18982,G. Murray,38,England,Brighton,38.0,2513.0,13.0,1.0,5.0,0.0
2018,19019,M. Le Marchand,34,France,Fulham,26.0,2251.0,0.0,1.0,5.0,0.0
2018,19052,J. Puncheon,37,England,Huddersfield,6.0,383.0,0.0,,1.0,0.0
2018,19423,Marc Pugh,34,England,Bournemouth,0.0,0.0,0.0,,0.0,0.0
2018,81993,J. Walters,38,Republic of Ireland,Burnley,0.0,0.0,0.0,,0.0,0.0
2018,83132,Jesús Gámez Duarte,33,Spain,Newcastle,,,,,,
2018,108,Cesc Fàbregas,36,Spain,Chelsea,6.0,175.0,0.0,,1.0,0.0
2018,160,M. Vorm,38,Netherlands,Tottenham,2.0,180.0,0.0,,0.0,0.0
2018,185,Fernando Llorente,37,Spain,Tottenham,20.0,683.0,1.0,4.0,2.0,0.0
2018,634,David Silva,37,Spain,Manchester City,33.0,2411.0,6.0,8.0,3.0,0.0
2018,642,S. Agüero,33,Argentina,Manchester City,33.0,2480.0,21.0,8.0,3.0,0.0
2018,1444,S. Lichtsteiner,37,Switzerland,Arsenal,14.0,940.0,0.0,,3.0,0.0
2018,1447,Nacho Monreal,36,Spain,Arsenal,22.0,1861.0,1.0,3.0,5.0,0.0
2018,1458,M. Özil,35,Germany,Arsenal,24.0,1741.0,5.0,2.0,2.0,0.0
2018,2297,G. Higuaín,36,Argentina,Chelsea,14.0,1092.0,5.0,,0.0,0.0
2018,18756,M. Stekelenburg,41,Netherlands,Everton,0.0,0.0,0.0,,0.0,0.0
2018,18792,M. Britos,36,Uruguay,Watford,3.0,185.0,0.0,,0.0,0.0
2018,18796,Daryl Janmaat,33,Netherlands,Watford,18.0,1521.0,0.0,2.0,3.0,0.0
2018,18818,P. Zabaleta,35,Argentina,West Ham,26.0,2092.0,0.0,1.0,4.0,0.0
2018,18828,R. Snodgrass,36,Scotland,West Ham,33.0,2222.0,2.0,5.0,10.0,0.0
2018,18849,J. McArthur,36,Scotland,Crystal Palace,38.0,3071.0,3.0,6.0,7.0,0.0
2018,18859,Artur Boruc,42,Poland,Bournemouth,12.0,1080.0,0.0,,2.0,0.0
2018,18912,P. Bardsley,38,Scotland,Burnley,19.0,1672.0,0.0,,9.0,0.0
2018,18919,Stephen Robert Ward,37,Republic of Ireland,Burnley,3.0,230.0,0.0,,1.0,0.0
2018,19031,A. Schürrle,30,Germany,Fulham,24.0,1650.0,6.0,,2.0,0.0
2018,19514,Lee Camp,38,Northern Ireland,Cardiff,0.0,0.0,0.0,,0.0,0.0
2018,1436,Petr Čech,40,Czech Republic,Arsenal,7.0,585.0,0.0,,0.0,0.0
2018,1448,S. Mustafi,31,Germany,Arsenal,31.0,2617.0,2.0,,9.0,0.0
