season,player_id,player_name,age,nationality,team,games_played,minutes,goals,assists,yellow_cards,red_cards
2019,883,L. Grant,39,England,Manchester United,0.0,0.0,0.0,,0.0,0.0
2019,3423,C. Atsu,31,Ghana,Newcastle,19.0,739.0,0.0,3.0,2.0,0.0
2019,18774,W. Morgan,37,Jamaica,Leicester,11.0,429.0,0.0,,0.0,0.0
2019,18826,M. Noble,35,England,West Ham,33.0,2686.0,4.0,3.0,5.0,0.0
2019,18839,S. Dann,36,England,Crystal Palace,16.0,1265.0,0.0,1.0,0.0,0.0
2019,18864,Charlie John Daniels,36,England,Bournemouth,2.0,127.0,0.0,,0.0,0.0
2019,18865,S. Francis,35,England,Bournemouth,15.0,965.0,0.0,,4.0,0.0
2019,18879,Andrew Surman,35,England,Bournemouth,5.0,233.0,0.0,,1.0,0.0
2019,18916,M. Lowton,34,England,Burnley,17.0,1530.0,0.0,1.0,2.0,0.0
2019,18956,S. Long,36,Republic of Ireland,Southampton,26.0,1397.0,2.0,2.0,0.0,0.0
2019,18977,D. Stephens,33,England,Brighton,33.0,2529.0,0.0,1.0,8.0,0.0
2019,18982,G. Murray,38,England,Brighton,23.0,786.0,1.0,1.0,0.0,0.0
2019,19095,J. O&apos;Connell,29,England,Sheffield Utd,33.0,2915.0,0.0,1.0,4.0,0.0
2019,19533,Jota Peleteiro,30,Spain,Aston Villa,10.0,333.0,0.0,1.0,0.0,0.0
2019,19629,D. Martin,37,England,West Ham,5.0,435.0,0.0,,1.0,0.0
2019,30801,M. Zeegelaar,33,Netherlands,Udinese,0.0,0.0,0.0,,0.0,0.0
2019,41557,B. Ashley-Seal,25,England,Wolves,0.0,0.0,0.0,,0.0,0.0
2019,82227,Stephen Francis Henderson,34,Republic of Ireland,Crystal Palace,0.0,0.0,0.0,,0.0,0.0
2019,138936,K. Hayden,18,England,Aston Villa,0.0,0.0,0.0,,0.0,0.0
2019,152963,O. Otasowie,22,USA,Wolves,0.0,0.0,0.0,,0.0,0.0
2019,160,M. Vorm,38,Netherlands,Tottenham,0.0,0.0,0.0,,0.0,0.0
2019,634,David Silva,37,Spain,Manchester City,27.0,1833.0,6.0,10.0,0.0,0.0
2019,642,S. Agüero,33,Argentina,Manchester City,24.0,1456.0,16.0,3.0,1.0,0.0
2019,1447,Nacho Monreal,36,Spain,Arsenal,3.0,270.0,0.0,,0.0,0.0
2019,1458,M. Özil,35,Germany,Arsenal,18.0,1449.0,1.0,2.0,1.0,0.0
2019,2275,W. Caballero,42,Argentina,Chelsea,5.0,450.0,0.0,,0.0,0.0
2019,18756,M. Stekelenburg,41,Netherlands,Everton,0.0,0.0,0.0,,0.0,0.0
2019,18773,C. Fuchs,37,Austria,Leicester,11.0,770.0,0.0,,0.0,0.0
2019,18796,Daryl Janmaat,33,Netherlands,Watford,8.0,608.0,0.0,1.0,1.0,0.0
2019,18818,P. Zabaleta,35,Argentina,West Ham,10.0,589.0,0.0,,2.0,0.0
2019,18828,R. Snodgrass,36,Scotland,West Ham,24.0,1512.0,5.0,5.0,4.0,0.0
2019,18849,J. McArthur,36,Scotland,Crystal Palace,37.0,3105.0,0.0,3.0,6.0,0.0
