season,player_id,player_name,age,nationality,team,games_played,minutes,goals,assists,yellow_cards,red_cards
2017,298,Rafael Camacho,23,Portugal,Liverpool,0.0,0.0,0.0,,0.0,0.0
2017,17749,Zachary Harry Dearnley,24,England,Manchester United,0.0,0.0,0.0,,0.0,0.0
2017,18074,Jamie Lee Peter Turley,32,England,Boreham Wood,0.0,0.0,0.0,,0.0,0.0
2017,18826,M. Noble,35,England,West Ham,29.0,2404.0,4.0,,6.0,0.0
2017,18837,J. Speroni,42,Argentina,Crystal Palace,11.0,990.0,0.0,,0.0,0.0
2017,18966,Bruno Saltor,41,Spain,Brighton,25.0,2018.0,0.0,,3.0,0.0
2017,19135,I. Brown,25,England,Brighton,13.0,306.0,0.0,,0.0,0.0
2017,19325,N. Dyer,34,England,Swansea,24.0,1312.0,0.0,,2.0,0.0
2017,19332,W. Routledge,36,England,Swansea,15.0,421.0,0.0,,1.0,0.0
2017,19494,M. Bauer,31,Austria,Stoke City,15.0,1309.0,0.0,,4.0,0.0
2017,30801,M. Zeegelaar,33,Netherlands,Watford,12.0,995.0,0.0,1.0,4.0,1.0
2017,34739,J. Mutch,32,England,Crystal Palace,0.0,0.0,0.0,,0.0,0.0
2017,82099,Vashon Neufville,23,England,West Ham,0.0,0.0,0.0,,0.0,0.0
2017,82615,Erbil Bozkurt,28,England,Boreham Wood,0.0,0.0,0.0,,0.0,0.0
2017,83018,S. Sidwell,39,England,Brighton,0.0,0.0,0.0,,0.0,0.0
2017,83020,L. Rosenior,37,England,Brighton,3.0,162.0,0.0,,0.0,0.0
2017,83132,Jesús Gámez Duarte,33,Spain,Newcastle,2.0,97.0,0.0,,0.0,0.0
2017,90505,S. Taylor,41,England,Southampton,0.0,0.0,0.0,,0.0,0.0
2017,138785,Alexander James Denny,22,England,Everton,0.0,0.0,0.0,,0.0,0.0
2017,208916,Michael Collins,20,England,Everton,0.0,0.0,0.0,,0.0,0.0
2017,883,L. Grant,39,England,Stoke City,3.0,270.0,0.0,,0.0,0.0
2017,17636,Kusu Moses Makasi,27,England,West Ham,0.0,0.0,0.0,,0.0,0.0
2017,18585,Dan Woodards,38,England,Boreham Wood,0.0,0.0,0.0,,0.0,0.0
2017,18839,S. Dann,36,England,Crystal Palace,17.0,1435.0,1.0,,4.0,0.0
2017,18864,Charlie John Daniels,36,England,Bournemouth,35.0,3005.0,1.0,3.0,0.0,0.0
2017,18865,S. Francis,35,England,Bournemouth,32.0,2706.0,0.0,1.0,9.0,0.0
2017,18879,Andrew Surman,35,England,Bournemouth,25.0,1852.0,2.0,5.0,2.0,0.0
2017,18977,D. Stephens,33,England,Brighton,36.0,3240.0,0.0,3.0,6.0,0.0
2017,18982,G. Murray,38,England,Brighton,35.0,2197.0,12.0,,9.0,0.0
2017,19092,M. Cranie,35,England,Huddersfield,3.0,180.0,0.0,,0.0,0.0
2017,19232,S. McQueen,25,England,Southampton,7.0,142.0,0.0,,0.0,0.0
2017,19303,Benjamin Watson,37,England,Watford,8.0,458.0,0.0,,1.0,0.0
