season,player_id,player_name,age,nationality,team,games_played,minutes,goals,assists,yellow_cards,red_cards
2023,54,Diego Costa,35,Spain,Wolves,,,,,,
2023,178,Lucas Moura,31,Brazil,Tottenham,,,,,,
2023,297,A. Oxlade-Chamberlain,30,England,Liverpool,,,,,,
2023,888,P. Jones,31,England,Manchester United,,,,,,
2023,900,J. Lingard,31,England,Nottingham Forest,,,,,,
2023,2473,M. Lanzini,30,Argentina,West Ham,,,,,,
2023,2677,João Moutinho,37,Portugal,Wolves,,,,,,
2023,18753,Adama Traoré,28,Spain,Wolves,,,,,,
2023,18762,T. Davies,26,England,Everton,,,,,,
2023,18849,J. McArthur,36,Scotland,Crystal Palace,,,,,,
2023,18852,L. Milivojević,32,Serbia,Crystal Palace,,,,,,
2023,18854,A. Townsend,33,England,Everton,,,,,,
2023,18858,A. Begović,36,Bosnia and Herzegovina,Everton,,,,,,
2023,18878,J. Stanislas,34,England,Bournemouth,,,,,,
2023,18891,C. Clark,34,Republic of Ireland,Sheffield Utd,,,,,,
2023,19174,J. Steer,31,England,Aston Villa,,,,,,
2023,19299,J. Colback,34,England,Nottingham Forest,,,,,,
2023,19842,L. Taylor,33,Montserrat,Nottingham Forest,,,,,,
2023,130419,M. Longstaff,23,England,Newcastle,,,,,,
2023,181822,E. Wady,21,USA,Chelsea,,,,,,
2023,84,Wesley Moraes,27,Brazil,Aston Villa,,,,,,
2023,285,K. Hoever,21,Netherlands,Wolves,,,,,,
2023,378,Alex Telles,31,Brazil,Manchester United,,,,,,
2023,882,David de Gea,33,Spain,Manchester United,,,,,,
2023,1914,M. Sanson,29,France,Aston Villa,,,,,,
2023,18747,R. Giles,24,England,Wolves,,,,,,
2023,27778,B. Bolla,24,Hungary,Wolves,,,,,,
2023,138934,A. Pressley,22,Scotland,Brentford,,,,,,
2023,140947,I. KaborÃ©,23,Burkina Faso,Manchester City,,,,,,
2023,152980,R. Savage,22,England,Newcastle,,,,,,
2023,153434,W. Fish,20,England,Manchester United,,,,,,
2023,162189,M. Bidstrup,22,Denmark,Brentford,,,,,,
2023,197448,Yan Couto,21,Brazil,Manchester City,,,,,,
2023,278075,C. Cîrjan,21,Romania,Arsenal,,,,,,
2023,278088,C. Rushworth,22,England,Brighton,,,,,,
2023,284062,K. Edwards,20,England,Arsenal,,,,,,
2023,284248,M. Frauendorf,19,Germany,Liverpool,,,,,,
2023,284446,F. Potts,20,England,West Ham,,,,,,
2023,284466,C. Patino,20,England,Arsenal,,,,,,
2023,291022,J. Keeley,20,Republic of Ireland,Tottenham,,,,,,
2023,2276,J. Cumming,24,England,Chelsea,,,,,,
2023,18751,Ivan Cavaleiro,30,Portugal,Fulham,,,,,,
2023,64167,G. Słonina,19,USA,Chelsea,,,,,,
2023,138777,F. Anjorin,22,England,Chelsea,,,,,,
2023,162590,T. Morton,22,England,Liverpool,,,,,,
2023,278086,I. Odutayo,21,England,Fulham,,,,,,
2023,282130,L. Pye,20,England,Manchester United,,,,,,
2023,284305,J. Miley,19,England,Newcastle,,,,,,
2023,284471,S. Parkes,19,England,Fulham,,,,,,
2023,284559,A. Borto,20,USA,Fulham,,,,,,
2023,288055,Ângelo,19,Brazil,Chelsea,,,,,,
2023,298129,M. Boateng,21,England,Crystal Palace,,,,,,
2023,303016,M. Oyedele,19,Poland,Manchester United,,,,,,
2023,327728,D. McCoy-Splatt,19,Jamaica,Fulham,,,,,,
2023,330636,S. Aljofree,19,England,Manchester United,,,,,,
2023,359386,M. Godo,20,England,Fulham,,,,,,
2023,363974,Z. Marsh,18,England,Crystal Palace,,,,,,
2023,378981,Elyh Harrison,17,England,Manchester United,,,,,,
2023,384981,S. Amissah,16,England,Fulham,,,,,,
2023,404021,F. Marjoram,17,England,Crystal Palace,,,,,,
2023,279,L. Mbe Soh,22,France,Nottingham Forest,0.0,0.0,0.0,,0.0,0.0
2023,907,R. Lukaku,30,Belgium,Chelsea,,,,,,
2023,2952,M. Dräger,27,Tunisia,Nottingham Forest,,,,,,
2023,18972,A. Knockaert,32,France,Fulham,,,,,,
2023,19866,J. Lowe,29,Jamaica,Bournemouth,0.0,0.0,0.0,,0.0,0.0
2023,25416,W. Weghorst,31,Netherlands,Burnley,,,,,,
2023,69257,J. Furlong,21,Republic of Ireland,Brighton,,,,,,
2023,144732,T. Doyle,23,England,Manchester City,,,,,,
2023,153261,N. Young-Coombes,20,England,Brentford,,,,,,
2023,162075,P. Maghoma,22,England,Brentford,,,,,,
2023,274550,H. Vale,20,England,Chelsea,,,,,,
2023,278079,A. Ramsey,21,England,Aston Villa,,,,,,
2023,282136,N. Emeran,21,France,Manchester United,,,,,,
2023,284241,Mateo Mejía,20,Spain,Manchester United,,,,,,
2023,284523,S. Swinkels,19,Netherlands,Aston Villa,,,,,,
2023,288107,C. McNeill,20,England,Manchester United,,,,,,
2023,329358,A. Bott,19,England,Nottingham Forest,,,,,,
2023,329362,J. Powell,18,England,Nottingham Forest,,,,,,
2023,382167,J. Wadham,20,England,Bournemouth,,,,,,
2023,382930,F. Okoh,19,England,Bournemouth,,,,,,
