season,player_id,player_name,age,nationality,team,games_played,minutes,goals,assists,yellow_cards,red_cards
2012,18826,M. Noble,35,England,West Ham,28,2286,4,,7,0
2012,19135,I. Brown,25,England,West Brom,1,4,0,,1,0
2012,19259,N. Baker,31,England,Aston Villa,26,2012,0,,4,0
2012,19325,N. Dyer,34,England,Swansea,37,2308,3,,4,0
2012,19332,W. Routledge,36,England,Swansea,36,2528,5,,0,0
2012,19526,C. Gardner,34,England,Sunderland,33,2832,6,,10,1
2012,28263,Csaba Somogyi,36,Hungary,Fulham,0,0,0,,0,0
2012,44326,Ali Al Habsi,40,Oman,Wigan,29,2610,0,,0,0
2012,47382,Ramis,36,Spain,Wigan,16,1399,2,,1,0
2012,83018,S. Sidwell,39,England,Fulham,28,2106,4,,7,2
2012,88449,C. Hill,43,England,QPR,31,2632,0,,8,0
2012,90505,S. Taylor,41,England,Reading,4,360,0,,0,0
2012,90511,Victor Chinedu Anichebe,29,Nigeria,Everton,26,1719,6,,2,0
2012,111312,Carlos Cuéllar,40,Spain,Sunderland,26,2258,1,,5,0
2012,114110,R. Stam,37,Netherlands,Wigan,17,1011,0,,0,0
2012,114743,K. Nolan,39,England,West Ham,35,2989,10,,6,0
2012,114789,Tommy Smith,35,England,QPR,0,0,0,,0,0
2012,114818,Titus Malachi Bramble,32,England,Sunderland,16,1180,0,,3,0
2012,114826,Crusat,39,Spain,Wigan,0,0,0,,0,0
2012,114875,R. Hulse,42,England,QPR,0,0,0,,0,0
2012,17414,Nicholas David Maynard,36,England,West Ham,0,0,0,,0,0
2012,17757,Jose Baxter,29,England,Everton,0,0,0,,0,0
2012,19303,Benjamin Watson,37,England,Wigan,12,624,1,,1,0
2012,19583,Àngel Rangel,38,Spain,Swansea,33,2750,3,,7,0
2012,20340,M. Kightly,35,England,Stoke City,22,1194,3,,2,0
2012,20493,Hope Akpan,31,Nigeria,Reading,9,470,0,,0,0
2012,21705,R. Amalfitano,34,France,Newcastle,0,0,0,,0,0
2012,47337,Esteban Félix Granero Molina,34,Spain,QPR,24,1664,1,,7,0
2012,50889,Brek Shea,33,USA,Stoke City,2,90,0,,0,0
2012,51199,N. Onuoha,35,England,QPR,23,1608,0,,0,0
2012,82095,F. Cuvelier,29,Belgium,Stoke City,0,0,0,,0,0
2012,82226,Frazer Richardson,35,England,Southampton,5,166,0,,0,0
2012,82939,M. Springthorpe,27,England,Everton,0,0,0,,0,0
2012,114755,Tony Hibbert,35,England,Everton,6,430,0,,1,0
2012,114794,C. Nash,48,England,Stoke City,0,0,0,,0,0
2012,114814,Luke  Moore,30,England,Swansea,17,527,3,,0,0
2012,114833,H. Ephraim,33,England,QPR,0,0,0,,0,0
2012,114837,A. Marshall,46,England,Aston Villa,0,0,0,,0,0
2012,114843,Adam Mitchell,20,Ireland Republic,Sunderland,1,2,0,,0,0
2012,114896,D. Higginbotham,43,Gibraltar,Stoke City,0,0,0,,0,0
2012,18879,Andrew Surman,35,England,Norwich,4,273,0,,0,0
2012,19434,D. Rudd,31,England,Norwich,0,0,0,,0,0
2012,19488,Danny Graham,36,England,Sunderland,13,940,0,,0,0
2012,19660,Billy Jones,34,England,West Brom,27,2207,1,,8,0
2012,19699,Sammy Ameobi,30,England,Newcastle,8,219,0,,1,0
2012,19879,James Vaughan,33,England,Norwich,0,0,0,,0,0
2012,19899,L. Cattermole,32,England,Sunderland,10,666,0,,2,0
2012,20265,Michael Grant Harriman,30,Republic of Ireland,QPR,1,90,0,,0,0
2012,20332,M. Turner,38,England,Norwich,26,2225,3,,6,0
2012,45001,A. Ferdinand,36,England,QPR,13,914,0,,2,0
2012,45306,Stephen Dobbie,40,Scotland,Swansea,0,0,0,,0,0
2012,50179,Yoan Gouffran,36,France,Newcastle,15,1058,3,,1,0
2012,82826,S. Lappin,38,Scotland,Norwich,0,0,0,,0,0
2012,82988,T. Adeyemi,28,England,Norwich,0,0,0,,0,0
2012,87815,Nile Ranger,31,England,Newcastle,2,6,0,,0,0
2012,95570,Alejandro Damián Faurlin,36,Argentina,QPR,11,784,0,,0,0
2012,114010,Luciano Becchio,40,Argentina,Norwich,8,166,0,,0,0
2012,114748,Dean Hammond,34,England,Southampton,0,0,0,,0,0
2012,114832,Garry Monk,35,England,Swansea,11,923,0,,0,0
2012,231606,Nicholas Bignall,28,England,Reading,0,0,0,,0,0
2012,2713,Karim El Ahmadi Al Aroos,37,Morocco,Aston Villa,20,1168,1,,5,0
2012,17504,A. Buxton,29,England,Wigan,0,0,0,,0,0
2012,18083,Jobi  McAnuff,40,Jamaica,Reading,38,3275,0,,5,0
2012,18462,M. Fortuné,42,France,West Brom,21,820,2,,2,1
2012,18916,M. Lowton,34,England,Aston Villa,37,3267,2,,10,0
2012,19052,J. Puncheon,37,England,Southampton,32,2065,5,,1,0
2012,19413,E. Lichaj,33,USA,Aston Villa,17,1137,0,,6,0
2012,19417,L. Ridgewell,37,England,West Brom,30,2486,0,,6,0
2012,19926,Shaun Cummings,30,Jamaica,Reading,9,810,0,,1,0
2012,20926,Sylvain Marveaux,36,France,Newcastle,22,994,1,,0,0
2012,49946,P. Cissé,38,Senegal,Newcastle,36,3003,8,,6,0
2012,50031,Armand Traoré,31,Senegal,QPR,26,2094,0,,3,0
2012,82167,R. Dickson,37,England,Southampton,0,0,0,,0,0
2012,82563,Grant Holt,37,England,Norwich,34,2571,8,,8,0
2012,90540,Alex Tchuimeni-Nimely,29,Liberia,Manchester City,0,0,0,,0,0
2012,104092,Emmanuel Mayuka,33,Zambia,Southampton,11,223,0,,0,0
2012,113928,M. Diarra,40,Mali,Fulham,8,607,0,,1,0
2012,114760,Steve Harper,41,England,Newcastle,6,458,0,,0,0
2012,114791,Guly,40,Brazil,Southampton,18,755,0,,0,0
2012,114891,Federico Bessone Luna,37,Argentina,Swansea,0,0,0,,0,0
2012,17925,M. Tonge,38,England,Stoke City,0,0,0,,0,0
2012,18605,N. Arnold,30,England,Reading,0,0,0,,0,0
2012,19234,R. Shotton,33,England,Stoke City,23,1821,0,,5,0
2012,19575,G. Cameron,38,USA,Stoke City,35,2634,0,,5,0
2012,20080,R. Taylor,37,England,Newcastle,1,26,0,,0,0
2012,20401,D. Fox,38,England,Norwich,2,35,0,,0,0
2012,27543,Wilson Roberto Palacios Suazo,37,Honduras,Stoke City,4,47,0,,0,0
2012,39341,Y. Sylla,33,Mali,Aston Villa,11,598,0,,3,0
2012,48925,Modibo Maïga,34,Mali,West Ham,17,409,2,,2,0
2012,49861,Emmanuel Adebayor,36,Togo,Tottenham,25,1600,5,,3,1
2012,51079,M. Figueroa,38,Honduras,Wigan,33,2815,1,,6,1
2012,82138,Shola Ameobi,37,Nigeria,Newcastle,23,675,1,,5,0
2012,85693,K. Mangane,38,Senegal,Sunderland,2,18,0,,0,0
2012,90513,S. Pienaar,39,South Africa,Everton,35,3065,6,,7,0
2012,103219,Maurice Edu,32,USA,Stoke City,1,10,0,,0,0
2012,105378,Clint Dempsey,35,USA,Tottenham,29,1997,7,,3,0
2012,105409,Kenwyne  Jones,34,Trinidad and Tobago,Stoke City,26,1037,3,,0,0
2012,114745,Mikel Arteta Amatriain,34,Spain,Arsenal,34,2985,6,,6,0
2012,114827,M. Pollitt,49,England,Wigan,0,0,0,,0,0
2012,114855,D. Etuhu,39,Nigeria,Fulham,0,0,0,,0,0
2012,775,D. Santon,31,Italy,Newcastle,31,2645,1,,4,0
2012,18956,S. Long,36,Republic of Ireland,West Brom,34,2162,8,,3,0
2012,19193,G. Whelan,39,Republic of Ireland,Stoke City,32,2593,0,,4,0
2012,19553,Darron Gibson,34,Republic of Ireland,Everton,23,1810,1,,4,1
2012,19561,Anthony Neil James Pilkington,34,Republic of Ireland,Norwich,30,2157,5,,2,0
2012,19609,J. O&apos;Shea,38,Republic of Ireland,Sunderland,34,2994,2,,3,0
2012,19698,Marc David Wilson,36,Republic of Ireland,Stoke City,19,1495,0,,3,0
2012,19996,David  Meyler,30,Republic of Ireland,Sunderland,3,63,0,,0,0
2012,56017,G. Popov,37,North Macedonia,West Brom,12,888,0,,1,1
2012,78738,Ricardo Vaz Tê,35,Portugal,West Ham,24,1608,3,,3,0
2012,81993,J. Walters,38,Republic of Ireland,Stoke City,38,3310,8,,4,0
2012,83259,S. Kelly,38,Republic of Ireland,Reading,16,1424,0,,2,0
2012,89051,Z. Gera,42,Hungary,West Brom,16,1127,4,,1,0
2012,90512,R. Huth,37,Germany,Stoke City,35,3150,1,,5,0
2012,104629,E. Frimpong,29,Ghana,Fulham,6,219,0,,1,0
2012,106805,Y. Benayoun,41,Israel,West Ham,6,314,0,,1,0
2012,114775,Damien  Duff,36,Republic of Ireland,Fulham,31,2339,3,,0,0
2012,114780,Giorgios Karagounis,37,Greece,Fulham,25,1553,1,,4,0
2012,114807,J. Tabb,37,Republic of Ireland,Reading,12,1020,0,,2,0
2012,114825,C. Cudicini,48,Italy,Tottenham,0,0,0,,0,0
2012,160,M. Vorm,38,Netherlands,Swansea,26,2312,0,,1,0
2012,1742,G. McAuley,42,Northern Ireland,West Brom,36,3240,3,,3,0
2012,2043,Daniel Filipe Martins Carriço,34,Portugal,Reading,3,87,0,,0,0
2012,18859,Artur Boruc,42,Poland,Southampton,20,1756,0,,1,0
2012,19079,Alexander Banor Tettey,36,Norway,Norwich,27,1902,0,,4,0
2012,19154,C. Brunt,37,Northern Ireland,West Brom,31,2180,2,,4,0
2012,19243,Mikel John Obi,35,Nigeria,Chelsea,22,1628,0,,3,0
2012,19514,Lee Camp,38,Northern Ireland,Norwich,3,222,0,,1,0
2012,36891,R. Vlaar,36,Netherlands,Aston Villa,27,2391,2,,1,0
2012,37162,Robin van Persie,36,Netherlands,Manchester United,38,3123,26,,6,0
2012,44863,A. Hughes,42,Northern Ireland,Fulham,24,2114,0,,1,0
2012,49862,D. Ba,36,Senegal,Chelsea,14,868,2,,0,0
2012,82017,C. Baird,39,Northern Ireland,Fulham,19,1316,2,,5,0
2012,87726,Ross Turnbull,32,England,Chelsea,3,224,0,,0,0
2012,87809,D. Tiendalli,36,Netherlands,Swansea,14,1011,1,,3,0
2012,106799,Michael Essien,38,Ghana,Chelsea,0,0,0,,0,0
2012,114759,S. Reid,40,Republic of Ireland,West Brom,11,909,0,,4,0
2012,114788,G. McCartney,40,Northern Ireland,West Ham,12,877,0,,2,0
2012,114798,Hilário,46,Portugal,Chelsea,0,0,0,,0,0
2012,114811,J. Roberts,43,Grenada,Reading,11,708,0,,2,0
2012,1750,Graham Dorrans,35,Scotland,West Brom,26,1763,1,,3,0
2012,17426,Russell Martin,33,Scotland,Norwich,31,2691,3,,1,0
2012,18828,R. Snodgrass,36,Scotland,Norwich,37,3066,6,,8,0
2012,18849,J. McArthur,36,Scotland,Wigan,34,2407,3,,7,0
2012,18912,P. Bardsley,38,Scotland,Sunderland,18,983,1,,5,0
2012,19162,James  Morrison,33,Scotland,West Brom,35,2847,5,,4,0
2012,19178,Alan Hutton,35,Scotland,Aston Villa,0,0,0,,0,0
2012,19284,C. Pantilimon,34,Romania,Manchester City,0,0,0,,0,0
2012,19543,D. Fox,35,Scotland,Southampton,20,1215,1,,3,1
2012,20124,J. Mackie,36,Scotland,QPR,29,1701,2,,2,0
2012,44839,S. Whittaker,37,Scotland,Norwich,13,1046,1,,0,0
2012,44881,S. Naismith,35,Scotland,Everton,31,1277,4,,0,0
2012,44968,M. Kilgallon,36,England,Sunderland,6,512,0,,1,0
2012,90510,Shaun Maloney,34,Scotland,Wigan,36,2945,6,,6,0
2012,97943,James McFadden,35,Scotland,Sunderland,3,35,0,,0,0
2012,114800,Raul José Trindade Meireles,33,Portugal,Chelsea,3,101,0,,0,0
2012,114805,Gary Caldwell,33,Scotland,Wigan,25,2089,1,,8,0
2012,114806,José Bosingwa da Silva,34,Portugal,QPR,23,1831,0,,2,0
2012,114828,Paulo Renato Rebocho Ferreira,34,Portugal,Chelsea,2,8,0,,0,0
2012,231006,Michael Johnson,25,England,Manchester City,0,0,0,,0,0
2012,634,David Silva,37,Spain,Manchester City,32,2527,4,,2,0
2012,758,G. Bale,34,Wales,Tottenham,33,2925,21,,6,0
2012,1200,B. Ivanović,37,Serbia,Chelsea,34,2944,5,,4,1
2012,1447,Nacho Monreal,36,Spain,Arsenal,10,791,1,,2,0
2012,2859,S. Larsson,38,Sweden,Sunderland,38,2998,1,,5,0
2012,19129,Pablo Hernández,38,Spain,Swansea,30,2201,3,,3,0
2012,19144,B. Myhill,39,Wales,West Brom,8,720,0,,0,0
2012,19168,Thomas Henry Alex Robson-Kanu,34,Wales,Reading,25,1278,7,,0,0
2012,19171,Mark Bunn,35,England,Norwich,23,1854,0,,2,1
2012,19181,N. Taylor,33,Wales,Swansea,6,278,0,,0,0
2012,19548,J. Olsson,38,Sweden,West Brom,36,3240,0,,5,0
2012,19602,C. Gunter,34,Wales,Reading,20,1790,0,,1,0
2012,19653,Steve Morison,36,Wales,Norwich,19,465,1,,0,0
2012,19722,J. Collins,38,Wales,West Ham,29,2496,0,,9,0
2012,36846,Oussama Assaidi,31,Morocco,Liverpool,4,73,0,,0,0
2012,46899,Nick Blackman,32,Barbados,Reading,11,387,0,,2,0
2012,104780,P. Senderos,36,Switzerland,Fulham,21,1681,0,,6,0
2012,105060,Miguel Pérez Cuesta,31,Spain,Swansea,35,3013,18,,6,0
2012,114769,A. Wilkinson,37,England,Stoke City,24,1728,0,,6,0
2012,114838,Simon Davies,34,Wales,Fulham,0,0,0,,0,0
2012,358,Marko Marin,33,Germany,Chelsea,6,143,1,,2,0
2012,405,S. Riether,38,Germany,Fulham,35,3045,1,,4,0
2012,15382,Jordi Gómez García-Penche,37,Spain,Wigan,32,1515,3,,4,1
2012,19500,Ashley Williams,36,Wales,Swansea,37,3330,0,,7,0
2012,19501,Charles Graham Adam,37,Scotland,Stoke City,27,1771,3,,8,0
2012,33413,Fernando Torres,35,Spain,Chelsea,36,2569,8,,5,0
2012,53645,P. Pogrebnyak,38,Russia,Reading,29,2033,5,,4,1
