Estadio,Equipo,Capacidad,Espectadores,Promedio,Partidos,Lleno,Máximo rendimiento,Temporada
Etihad Stadium,Manchester City,55017,872195,45905,19,,"83,4 %",10/11
Anfield,Liverpool FC,60725,813661,42824,19,,"70,5 %",10/11
Stamford Bridge,Chelsea FC,40853,787271,41435,19,3,"101,4 %",10/11
Stadium of Light,Sunderland AFC,48707,760209,40011,19,,"82,2 %",10/11
Villa Park,Aston Villa,42682,706685,37194,19,,"87,1 %",10/11
Goodison Park,Everton FC,39571,685222,36064,19,,"91,1 %",10/11
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,678716,35722,19,,"56,8 %",10/11
London Stadium,West Ham United,62500,634685,33404,19,,"53,5 %",10/11
Molineux Stadium,Wolverhampton Wanderers,32050,526225,27696,19,,"86,4 %",10/11
bet365 Stadium,Stoke City,30089,510303,26858,19,,"89,3 %",10/11
St Andrew's,Birmingham City,29409,483775,25462,19,,"86,6 %",10/11
Craven Cottage,Fulham FC,25700,477862,25151,19,2,"97,9 %",10/11
Ewood Park,Blackburn Rovers,31367,474995,25000,19,,"79,7 %",10/11
The Hawthorns,West Bromwich Albion,26850,468976,24683,19,,"91,9 %",10/11
Toughsheet Community Stadium,Bolton Wanderers,28723,433325,22807,19,1,"79,4 %",10/11
Brick Community Stadium,Wigan Athletic,25133,319331,16807,19,,"66,9 %",10/11
Bloomfield Road,Blackpool FC,16220,299815,15780,19,,"97,3 %",10/11
Old Trafford,Manchester United,74879,1432358,75387,19,19,"100,7 %",11/12
Emirates Stadium,Arsenal FC,60704,1139997,60000,19,17,"98,8 %",11/12
St James' Park,Newcastle United,52338,949078,49951,19,10,"95,4 %",11/12
Etihad Stadium,Manchester City,55017,893851,47045,19,16,"85,5 %",11/12
Anfield,Liverpool FC,60725,840808,44253,19,13,"72,9 %",11/12
Stamford Bridge,Chelsea FC,40853,788196,41484,19,18,"101,5 %",11/12
Stadium of Light,Sunderland AFC,48707,741891,39047,19,,"80,2 %",11/12
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,684681,36036,19,17,"57,3 %",11/12
Villa Park,Aston Villa,42682,643770,33883,19,,"79,4 %",11/12
Goodison Park,Everton FC,39571,631333,33228,19,2,"84,0 %",11/12
bet365 Stadium,Stoke City,30089,517290,27226,19,18,"90,5 %",11/12
Carrow Road,Norwich City,27244,505509,26606,19,16,"97,7 %",11/12
Molineux Stadium,Wolverhampton Wanderers,32050,487871,25677,19,4,"80,1 %",11/12
Craven Cottage,Fulham FC,25700,482586,25399,19,14,"98,8 %",11/12
The Hawthorns,West Bromwich Albion,26850,470625,24770,19,8,"92,3 %",11/12
Toughsheet Community Stadium,Bolton Wanderers,28723,449729,23670,19,,"82,4 %",11/12
Ewood Park,Blackburn Rovers,31367,428474,22551,19,,"71,9 %",11/12
Swansea.com Stadium,Swansea City,21088,378978,19946,19,12,"94,6 %",11/12
Brick Community Stadium,Wigan Athletic,25133,354038,18634,19,,"74,1 %",11/12
Loftus Road Stadium,Queens Park Rangers,18360,328613,17295,19,11,"94,2 %",11/12
Old Trafford,Manchester United,74879,1435063,75530,19,18,"100,9 %",12/13
Emirates Stadium,Arsenal FC,60704,1141498,60079,19,17,"99,0 %",12/13
St James' Park,Newcastle United,52338,959826,50517,19,8,"96,5 %",12/13
Etihad Stadium,Manchester City,55017,892506,46974,19,17,"85,4 %",12/13
Anfield,Liverpool FC,60725,850224,44749,19,19,"73,7 %",12/13
Stamford Bridge,Chelsea FC,40853,787786,41462,19,16,"101,5 %",12/13
Stadium of Light,Sunderland AFC,48707,770698,40563,19,,"83,3 %",12/13
Goodison Park,Everton FC,39571,690763,36356,19,4,"91,9 %",12/13
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,685257,36066,19,17,"57,4 %",12/13
Villa Park,Aston Villa,42682,666135,35060,19,2,"82,1 %",12/13
London Stadium,West Ham United,62500,659614,34717,19,15,"55,6 %",12/13
St Mary's Stadium,Southampton FC,32384,586242,30855,19,11,"95,3 %",12/13
bet365 Stadium,Stoke City,30089,507727,26722,19,16,"88,8 %",12/13
Carrow Road,Norwich City,27244,506762,26672,19,18,"97,9 %",12/13
Craven Cottage,Fulham FC,25700,483032,25423,19,18,"98,9 %",12/13
The Hawthorns,West Bromwich Albion,26850,478838,25202,19,14,"93,9 %",12/13
Select Car Leasing Stadium,FC Reading,24161,453378,23862,19,14,"98,8 %",12/13
Swansea.com Stadium,Swansea City,21088,389037,20476,19,17,"97,1 %",12/13
Brick Community Stadium,Wigan Athletic,25133,367827,19359,19,,"77,0 %",12/13
Loftus Road Stadium,Queens Park Rangers,18360,337799,17779,19,13,"96,8 %",12/13
Old Trafford,Manchester United,74879,1428928,75207,19,12,"100,4 %",13/14
Emirates Stadium,Arsenal FC,60704,1140251,60013,19,18,"98,9 %",13/14
St James' Park,Newcastle United,52338,957511,50395,19,6,"96,3 %",13/14
Etihad Stadium,Manchester City,55017,894527,47080,19,13,"85,6 %",13/14
Anfield,Liverpool FC,60725,848750,44671,19,7,"73,6 %",13/14
Stamford Bridge,Chelsea FC,40853,788153,41482,19,17,"101,5 %",13/14
Stadium of Light,Sunderland AFC,48707,780706,41090,19,,"84,4 %",13/14
Goodison Park,Everton FC,39571,716902,37732,19,4,"95,4 %",13/14
Villa Park,Aston Villa,42682,685535,36081,19,1,"84,5 %",13/14
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,680360,35808,19,15,"57,0 %",13/14
London Stadium,West Ham United,62500,649741,34197,19,13,"54,7 %",13/14
St Mary's Stadium,Southampton FC,32384,574020,30212,19,,"93,3 %",13/14
Cardiff City Stadium,Cardiff City,33280,521165,27430,19,13,"82,4 %",13/14
Carrow Road,Norwich City,27244,509302,26805,19,18,"98,4 %",13/14
bet365 Stadium,Stoke City,30089,496607,26137,19,4,"86,9 %",13/14
The Hawthorns,West Bromwich Albion,26850,478678,25194,19,7,"93,8 %",13/14
Craven Cottage,Fulham FC,25700,474563,24977,19,10,"97,2 %",13/14
MKM Stadium,Hull City,25586,458217,24117,19,6,"94,3 %",13/14
Selhurst Park,Crystal Palace,26047,458169,24114,19,,"92,6 %",13/14
Swansea.com Stadium,Swansea City,21088,387725,20407,19,17,"96,8 %",13/14
Old Trafford,Manchester United,74879,1431362,75335,19,3,"100,6 %",14/15
Emirates Stadium,Arsenal FC,60704,1139843,59992,19,3,"98,8 %",14/15
St James' Park,Newcastle United,52338,956823,50359,19,1,"96,2 %",14/15
Etihad Stadium,Manchester City,55017,861939,45365,19,,"82,5 %",14/15
Anfield,Liverpool FC,60725,848519,44659,19,2,"73,5 %",14/15
Stadium of Light,Sunderland AFC,48707,820255,43171,19,,"88,6 %",14/15
Stamford Bridge,Chelsea FC,40853,789376,41546,19,3,"101,7 %",14/15
Goodison Park,Everton FC,39571,729711,38406,19,2,"97,1 %",14/15
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,678824,35728,19,3,"56,9 %",14/15
London Stadium,West Ham United,62500,662552,34871,19,2,"55,8 %",14/15
Villa Park,Aston Villa,42682,648518,34133,19,,"80,0 %",14/15
King Power Stadium,Leicester City,32273,602165,31693,19,2,"98,2 %",14/15
St Mary's Stadium,Southampton FC,32384,582395,30652,19,,"94,7 %",14/15
bet365 Stadium,Stoke City,30089,514547,27081,19,2,"90,0 %",14/15
The Hawthorns,West Bromwich Albion,26850,476211,25064,19,2,"93,4 %",14/15
Selhurst Park,Crystal Palace,26047,463824,24412,19,2,"93,7 %",14/15
MKM Stadium,Hull City,25586,447584,23557,19,,"92,1 %",14/15
Swansea.com Stadium,Swansea City,21088,390544,20555,19,5,"97,5 %",14/15
Turf Moor,Burnley FC,21994,363483,19131,19,1,"87,0 %",14/15
Loftus Road Stadium,Queens Park Rangers,18360,338369,17809,19,,"97,0 %",14/15
Old Trafford,Manchester United,74879,1430299,75279,19,4,"100,5 %",15/16
Emirates Stadium,Arsenal FC,60704,1138944,59944,19,9,"98,8 %",15/16
Etihad Stadium,Manchester City,55017,1026776,54041,19,1,"98,2 %",15/16
St James' Park,Newcastle United,52338,945317,49754,19,2,"95,1 %",15/16
Anfield,Liverpool FC,60725,834285,43910,19,,"72,3 %",15/16
Stadium of Light,Sunderland AFC,48707,818351,43071,19,1,"88,4 %",15/16
Stamford Bridge,Chelsea FC,40853,788496,41500,19,6,"101,6 %",15/16
Goodison Park,Everton FC,39571,724356,38124,19,3,"96,3 %",15/16
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,679741,35776,19,,"56,9 %",15/16
London Stadium,West Ham United,62500,663291,34910,19,8,"55,9 %",15/16
Villa Park,Aston Villa,42682,640112,33690,19,1,"78,9 %",15/16
King Power Stadium,Leicester City,32273,608393,32021,19,1,"99,2 %",15/16
St Mary's Stadium,Southampton FC,32384,584266,30751,19,,"95,0 %",15/16
bet365 Stadium,Stoke City,30089,523148,27534,19,1,"91,5 %",15/16
Carrow Road,Norwich City,27244,512471,26972,19,5,"99,0 %",15/16
Selhurst Park,Crystal Palace,26047,471683,24825,19,1,"95,3 %",15/16
The Hawthorns,West Bromwich Albion,26850,467995,24631,19,,"91,7 %",15/16
Swansea.com Stadium,Swansea City,21088,393508,20711,19,5,"98,2 %",15/16
Vicarage Road,Watford FC,21577,391281,20594,19,,"95,4 %",15/16
Vitality Stadium,AFC Bournemouth,11329,212586,11189,19,,"98,8 %",15/16
Old Trafford,Manchester United,74879,1430502,75290,19,5,"100,6 %",16/17
Emirates Stadium,Arsenal FC,60704,1139176,59957,19,9,"98,8 %",16/17
London Stadium,West Ham United,62500,1082464,56972,19,,"91,2 %",16/17
Etihad Stadium,Manchester City,55017,1026358,54019,19,1,"98,2 %",16/17
Anfield,Liverpool FC,60725,1007311,53016,19,,"87,3 %",16/17
Stamford Bridge,Chelsea FC,40853,788645,41508,19,8,"101,6 %",16/17
Stadium of Light,Sunderland AFC,48707,784450,41287,19,,"84,8 %",16/17
Goodison Park,Everton FC,39571,742521,39080,19,8,"98,8 %",16/17
King Power Stadium,Leicester City,32273,605968,31893,19,5,"98,8 %",16/17
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,601143,31639,19,,"50,3 %",16/17
St Mary's Stadium,Southampton FC,32384,587787,30936,19,1,"95,5 %",16/17
Riverside Stadium,Middlesbrough FC,33746,578539,30449,19,2,"90,2 %",16/17
bet365 Stadium,Stoke City,30089,521230,27433,19,1,"91,2 %",16/17
Selhurst Park,Crystal Palace,26047,478052,25161,19,4,"96,6 %",16/17
The Hawthorns,West Bromwich Albion,26850,453646,23876,19,1,"88,9 %",16/17
MKM Stadium,Hull City,25586,392466,20656,19,1,"80,7 %",16/17
Swansea.com Stadium,Swansea City,21088,391766,20619,19,1,"97,8 %",16/17
Vicarage Road,Watford FC,21577,390849,20571,19,1,"95,3 %",16/17
Turf Moor,Burnley FC,21994,390609,20558,19,4,"93,5 %",16/17
Vitality Stadium,AFC Bournemouth,11329,212464,11182,19,4,"98,7 %",16/17
Old Trafford,Manchester United,74879,1424537,74976,19,,"100,1 %",17/18
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,1282417,67496,19,,"107,4 %",17/18
Emirates Stadium,Arsenal FC,60704,1127133,59323,19,,"97,7 %",17/18
London Stadium,West Ham United,62500,1080812,56885,19,,"91,0 %",17/18
Etihad Stadium,Manchester City,55017,1022433,53812,19,,"97,8 %",17/18
Anfield,Liverpool FC,60725,1007931,53049,19,,"87,4 %",17/18
St James' Park,Newcastle United,52338,987844,51992,19,1,"99,3 %",17/18
Stamford Bridge,Chelsea FC,40853,784353,41282,19,1,"101,1 %",17/18
Goodison Park,Everton FC,39571,737143,38797,19,,"98,0 %",17/18
King Power Stadium,Leicester City,32273,600083,31583,19,,"97,9 %",17/18
St Mary's Stadium,Southampton FC,32384,585084,30794,19,,"95,1 %",17/18
AMEX Stadium,Brighton & Hove Albion,31800,577647,30402,19,1,"95,6 %",17/18
bet365 Stadium,Stoke City,30089,556317,29280,19,,"97,3 %",17/18
Selhurst Park,Crystal Palace,26047,476229,25065,19,,"96,2 %",17/18
The Hawthorns,West Bromwich Albion,26850,465888,24520,19,,"91,3 %",17/18
John Smith's Stadium,Huddersfield Town,24500,456796,24042,19,1,"98,1 %",17/18
Turf Moor,Burnley FC,21994,393080,20688,19,,"94,1 %",17/18
Swansea.com Stadium,Swansea City,21088,391827,20622,19,,"97,8 %",17/18
Vicarage Road,Watford FC,21577,384385,20231,19,,"93,8 %",17/18
Vitality Stadium,AFC Bournemouth,11329,202154,10640,19,,"93,9 %",17/18
Old Trafford,Manchester United,74879,1415471,74498,19,,"99,5 %",18/19
Emirates Stadium,Arsenal FC,60704,1138072,59899,19,,"98,7 %",18/19
London Stadium,West Ham United,62500,1108375,58336,19,,"93,3 %",18/19
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,1030111,54216,19,,"86,3 %",18/19
Etihad Stadium,Manchester City,55017,1028477,54130,19,,"98,4 %",18/19
Anfield,Liverpool FC,60725,1006668,52983,19,,"87,3 %",18/19
St James' Park,Newcastle United,52338,971297,51121,19,,"97,7 %",18/19
Stamford Bridge,Chelsea FC,40853,768387,40441,19,,"99,0 %",18/19
Goodison Park,Everton FC,39571,741815,39043,19,,"98,7 %",18/19
King Power Stadium,Leicester City,32273,605161,31851,19,,"98,7 %",18/19
Cardiff City Stadium,Cardiff City,33280,596751,31408,19,,"94,4 %",18/19
Molineux Stadium,Wolverhampton Wanderers,32050,589472,31025,19,1,"96,8 %",18/19
AMEX Stadium,Brighton & Hove Albion,31800,578085,30426,19,,"95,7 %",18/19
St Mary's Stadium,Southampton FC,32384,572640,30139,19,,"93,1 %",18/19
Selhurst Park,Crystal Palace,26047,483644,25455,19,,"97,7 %",18/19
Craven Cottage,Fulham FC,25700,463051,24371,19,,"94,8 %",18/19
John Smith's Stadium,Huddersfield Town,24500,443456,23340,19,,"95,3 %",18/19
Turf Moor,Burnley FC,21994,390148,20534,19,,"93,4 %",18/19
Vicarage Road,Watford FC,21577,380297,20016,19,,"92,8 %",18/19
Vitality Stadium,AFC Bournemouth,11329,200107,10532,19,,"93,0 %",18/19
Old Trafford,Manchester United,74879,1090656,72710,15,,"97,1 %",19/20
Emirates Stadium,Arsenal FC,60704,904188,60279,15,2,"99,3 %",19/20
London Stadium,West Ham United,62500,838943,59925,14,2,"95,9 %",19/20
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,831374,59384,14,,"94,5 %",19/20
Anfield,Liverpool FC,60725,797143,53143,15,,"87,5 %",19/20
Etihad Stadium,Manchester City,55017,704846,54219,13,,"98,6 %",19/20
St James' Park,Newcastle United,52338,675471,48248,14,,"92,2 %",19/20
Stamford Bridge,Chelsea FC,40853,608444,40563,15,,"99,3 %",19/20
Goodison Park,Everton FC,39571,548103,39150,14,,"98,9 %",19/20
Villa Park,Aston Villa,42682,541594,41661,13,,"97,6 %",19/20
King Power Stadium,Leicester City,32273,480920,32061,15,,"99,3 %",19/20
Molineux Stadium,Wolverhampton Wanderers,32050,470407,31360,15,,"97,9 %",19/20
Bramall Lane,Sheffield United,32702,463569,30905,15,,"94,5 %",19/20
St Mary's Stadium,Southampton FC,32384,445129,29675,15,,"91,6 %",19/20
AMEX Stadium,Brighton & Hove Albion,31800,424986,30356,14,,"95,5 %",19/20
Carrow Road,Norwich City,27244,378303,27022,14,,"99,2 %",19/20
Selhurst Park,Crystal Palace,26047,375902,25060,15,,"96,2 %",19/20
Turf Moor,Burnley FC,21994,303899,20260,15,,"92,1 %",19/20
Vicarage Road,Watford FC,21577,291713,20837,14,1,"96,6 %",19/20
Vitality Stadium,AFC Bournemouth,11329,147146,10510,14,,"92,8 %",19/20
Anfield,Liverpool FC,60725,16000,4000,4,,"6,6 %",20/21
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,12000,6000,2,,"9,6 %",20/21
London Stadium,West Ham United,62500,12000,6000,2,,"9,6 %",20/21
AMEX Stadium,Brighton & Hove Albion,31800,11945,3982,3,,"12,5 %",20/21
Goodison Park,Everton FC,39571,10068,3356,3,,"8,5 %",20/21
Emirates Stadium,Arsenal FC,60704,10000,10000,1,,"16,5 %",20/21
St James' Park,Newcastle United,52338,10000,10000,1,,"19,1 %",20/21
Old Trafford,Manchester United,74879,10000,10000,1,,"13,4 %",20/21
Etihad Stadium,Manchester City,55017,10000,10000,1,,"18,2 %",20/21
Stamford Bridge,Chelsea FC,40853,9195,4598,2,,"11,3 %",20/21
Selhurst Park,Crystal Palace,26047,8500,4250,2,,"16,3 %",20/21
Elland Road,Leeds United,37890,8000,8000,1,,"21,1 %",20/21
King Power Stadium,Leicester City,32273,8000,8000,1,,"24,8 %",20/21
The Hawthorns,West Bromwich Albion,26850,5371,5371,1,,"20,0 %",20/21
Bramall Lane,Sheffield United,32702,5096,5096,1,,"15,6 %",20/21
St Mary's Stadium,Southampton FC,32384,4000,2000,2,,"6,2 %",20/21
Craven Cottage,Fulham FC,25700,4000,2000,2,,"7,8 %",20/21
Turf Moor,Burnley FC,21994,3500,3500,1,,"15,9 %",20/21
Molineux Stadium,Wolverhampton Wanderers,32050,0,0,0,,"0,0 %",20/21
Villa Park,Aston Villa,42682,0,0,0,,"0,0 %",20/21
Old Trafford,Manchester United,74879,1389856,73150,19,,"97,7 %",21/22
Emirates Stadium,Arsenal FC,60704,1136406,59811,19,,"98,5 %",21/22
London Stadium,West Ham United,62500,1112814,58569,19,1,"93,7 %",21/22
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,1073936,56523,19,,"89,9 %",21/22
Anfield,Liverpool FC,60725,1007153,53008,19,,"87,3 %",21/22
Etihad Stadium,Manchester City,55017,1002028,52738,19,,"95,9 %",21/22
St James' Park,Newcastle United,52338,978251,51487,19,,"98,4 %",21/22
Goodison Park,Everton FC,39571,738758,38882,19,,"98,3 %",21/22
Villa Park,Aston Villa,42682,708067,41651,17,,"97,6 %",21/22
Stamford Bridge,Chelsea FC,40853,692419,36443,19,,"89,2 %",21/22
Elland Road,Leeds United,37890,653140,36286,18,,"95,8 %",21/22
King Power Stadium,Leicester City,32273,606869,31940,19,,"99,0 %",21/22
AMEX Stadium,Brighton & Hove Albion,31800,587918,30943,19,,"97,3 %",21/22
Molineux Stadium,Wolverhampton Wanderers,32050,521772,30692,17,,"95,8 %",21/22
Selhurst Park,Crystal Palace,26047,461349,24282,19,,"93,2 %",21/22
St Mary's Stadium,Southampton FC,32384,448223,29882,15,,"92,3 %",21/22
Carrow Road,Norwich City,27244,430124,26883,16,,"98,7 %",21/22
Vicarage Road,Watford FC,21577,391369,20598,19,,"95,5 %",21/22
Turf Moor,Burnley FC,21994,347708,19317,18,,"87,8 %",21/22
Gtech Community Stadium,Brentford FC,17250,304327,16907,18,,"98,0 %",21/22
Old Trafford,Manchester United,74879,1402481,73815,19,1,"98,6 %",22/23
London Stadium,West Ham United,62500,1186777,62462,19,,"99,9 %",22/23
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,1170118,61585,19,,"98,0 %",22/23
Emirates Stadium,Arsenal FC,60704,1143626,60191,19,,"99,2 %",22/23
Etihad Stadium,Manchester City,55017,1011732,53249,19,,"96,8 %",22/23
Anfield,Liverpool FC,60725,1010488,53184,19,,"87,6 %",22/23
St James' Park,Newcastle United,52338,990422,52127,19,,"99,6 %",22/23
Villa Park,Aston Villa,42682,792431,41707,19,,"97,7 %",22/23
Stamford Bridge,Chelsea FC,40853,760039,40002,19,,"97,9 %",22/23
Goodison Park,Everton FC,39571,745571,39241,19,,"99,2 %",22/23
Elland Road,Leeds United,37890,694759,36566,19,,"96,5 %",22/23
King Power Stadium,Leicester City,32273,605857,31887,19,,"98,8 %",22/23
AMEX Stadium,Brighton & Hove Albion,31800,598061,31477,19,,"99,0 %",22/23
Molineux Stadium,Wolverhampton Wanderers,32050,597044,31423,19,,"98,0 %",22/23
St Mary's Stadium,Southampton FC,32384,577895,30416,19,,"93,9 %",22/23
The City Ground,Nottingham Forest,30445,554570,29188,19,,"95,9 %",22/23
Selhurst Park,Crystal Palace,26047,475975,25051,19,,"96,2 %",22/23
Craven Cottage,Fulham FC,25700,451549,23766,19,12,"92,5 %",22/23
Gtech Community Stadium,Brentford FC,17250,324527,17080,19,,"99,0 %",22/23
Vitality Stadium,AFC Bournemouth,11329,195829,10307,19,,"91,0 %",22/23
Old Trafford,Manchester United,74879,1397148,73534,19,,"98,2 %",23/24
London Stadium,West Ham United,62500,1186367,62440,19,,"99,9 %",23/24
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,1167725,61459,19,,"97,8 %",23/24
Emirates Stadium,Arsenal FC,60704,1144488,60236,19,,"99,2 %",23/24
Anfield,Liverpool FC,60725,1060362,55809,19,,"91,9 %",23/24
Etihad Stadium,Manchester City,55017,1012469,53288,19,1,"96,9 %",23/24
St James' Park,Newcastle United,52338,990904,52153,19,,"99,7 %",23/24
Villa Park,Aston Villa,42682,796501,41921,19,,"98,2 %",23/24
Stamford Bridge,Chelsea FC,40853,751952,39576,19,,"96,9 %",23/24
Goodison Park,Everton FC,39571,741793,39042,19,,"98,7 %",23/24
AMEX Stadium,Brighton & Hove Albion,31800,599319,31543,19,,"99,2 %",23/24
Molineux Stadium,Wolverhampton Wanderers,32050,589697,31037,19,,"96,8 %",23/24
Bramall Lane,Sheffield United,32702,569271,29962,19,,"91,6 %",23/24
The City Ground,Nottingham Forest,30445,558326,29386,19,,"96,5 %",23/24
Selhurst Park,Crystal Palace,26047,472742,24881,19,,"95,5 %",23/24
Craven Cottage,Fulham FC,25700,461722,24301,19,,"94,6 %",23/24
Turf Moor,Burnley FC,21994,401903,21153,19,,"96,2 %",23/24
Gtech Community Stadium,Brentford FC,17250,324565,17082,19,,"99,0 %",23/24
Kenilworth Road,Luton Town,11850,213636,11244,19,,"94,9 %",23/24
Vitality Stadium,AFC Bournemouth,11329,210868,11098,19,1,"98,0 %",23/24
