temporada,posicion,equipo,goles_favor_total,goles_contra_total,puntos_total,goles_favor_local,goles_contra_local,puntos_local,goles_favor_visitante,goles_contra_visitante,puntos_visitante
2020-2021,15,Southampton,47.0,68.0,43,28.0,25.0,27,19.0,43.0,16
2020-2021,16,Brighton,40.0,46.0,41,22.0,22.0,21,18.0,24.0,20
2020-2021,17,Burnley,33.0,55.0,39,14.0,27.0,18,19.0,28.0,21
2020-2021,18,Fulham,27.0,53.0,28,9.0,28.0,10,18.0,25.0,18
2020-2021,19,West Brom,35.0,76.0,26,15.0,39.0,15,20.0,37.0,11
2020-2021,20,Sheffield United,20.0,63.0,23,12.0,27.0,16,8.0,36.0,7
2021-2022,1,Man City,99.0,26.0,93,58.0,15.0,47,41.0,11.0,46
2021-2022,2,Liverpool,94.0,26.0,92,49.0,9.0,49,45.0,17.0,43
2021-2022,3,Chelsea,76.0,33.0,74,37.0,22.0,34,39.0,11.0,40
2021-2022,4,Tottenham,69.0,40.0,71,38.0,19.0,40,31.0,21.0,31
2021-2022,5,Arsenal,61.0,48.0,69,35.0,17.0,41,26.0,31.0,28
2021-2022,6,Man United,57.0,57.0,58,32.0,22.0,35,25.0,35.0,23
2021-2022,7,West Ham,60.0,51.0,56,33.0,26.0,32,27.0,25.0,24
2021-2022,8,Leicester,62.0,59.0,52,34.0,23.0,34,28.0,36.0,18
2021-2022,9,Brighton,42.0,44.0,51,19.0,23.0,22,23.0,21.0,29
2021-2022,10,Wolves,38.0,43.0,51,20.0,25.0,24,18.0,18.0,27
2021-2022,11,Newcastle,44.0,62.0,49,26.0,27.0,30,18.0,35.0,19
2021-2022,12,Crystal Palace,50.0,46.0,48,27.0,17.0,29,23.0,29.0,19
2021-2022,13,Brentford,48.0,56.0,46,22.0,21.0,24,26.0,35.0,22
2021-2022,14,Aston Villa,52.0,54.0,45,29.0,29.0,23,23.0,25.0,22
2021-2022,15,Southampton,43.0,67.0,40,23.0,24.0,25,20.0,43.0,15
2021-2022,16,Everton,43.0,66.0,39,27.0,25.0,29,16.0,41.0,10
2021-2022,17,Leeds,42.0,79.0,38,19.0,38.0,18,23.0,41.0,20
2021-2022,18,Burnley,34.0,53.0,35,18.0,25.0,21,16.0,28.0,14
2021-2022,19,Watford,34.0,77.0,23,17.0,46.0,8,17.0,31.0,15
2021-2022,20,Norwich,23.0,84.0,22,12.0,43.0,12,11.0,41.0,10
2022-2023,1,Man City,94.0,33.0,89,60.0,17.0,52,34.0,16.0,37
2022-2023,2,Arsenal,88.0,43.0,84,53.0,25.0,45,35.0,18.0,39
2022-2023,3,Man United,58.0,43.0,75,36.0,10.0,48,22.0,33.0,27
2022-2023,4,Newcastle,68.0,33.0,71,36.0,14.0,39,32.0,19.0,32
2022-2023,5,Liverpool,75.0,47.0,67,46.0,17.0,44,29.0,30.0,23
2022-2023,6,Brighton,72.0,53.0,62,37.0,21.0,34,35.0,32.0,28
2022-2023,7,Aston Villa,51.0,46.0,61,33.0,21.0,38,18.0,25.0,23
2022-2023,8,Tottenham,70.0,63.0,60,37.0,25.0,37,33.0,38.0,23
2022-2023,9,Brentford,58.0,46.0,59,35.0,18.0,37,23.0,28.0,22
2022-2023,10,Fulham,55.0,53.0,52,31.0,29.0,29,24.0,24.0,23
2022-2023,11,Crystal Palace,40.0,49.0,45,21.0,23.0,28,19.0,26.0,17
2022-2023,12,Chelsea,38.0,47.0,44,20.0,19.0,25,18.0,28.0,19
2022-2023,13,Wolves,31.0,58.0,41,19.0,20.0,30,12.0,38.0,11
2022-2023,14,West Ham,42.0,55.0,40,26.0,24.0,28,16.0,31.0,12
2022-2023,15,Bournemouth,37.0,71.0,39,20.0,28.0,22,17.0,43.0,17
2022-2023,16,Nott'm Forest,38.0,68.0,38,27.0,24.0,30,11.0,44.0,8
2022-2023,17,Everton,34.0,57.0,36,16.0,27.0,21,18.0,30.0,15
2022-2023,18,Leicester,51.0,68.0,34,23.0,27.0,19,28.0,41.0,15
2022-2023,19,Leeds,48.0,78.0,31,26.0,37.0,22,22.0,41.0,9
2022-2023,20,Southampton,36.0,73.0,25,19.0,37.0,11,17.0,36.0,14
2023-2024,1,Man City,96.0,34.0,91,51.0,16.0,47,45.0,18.0,44
2023-2024,2,Arsenal,91.0,29.0,89,48.0,16.0,47,43.0,13.0,42
2023-2024,3,Liverpool,86.0,41.0,82,49.0,17.0,48,37.0,24.0,34
2023-2024,4,Aston Villa,76.0,61.0,68,48.0,28.0,40,28.0,33.0,28
2023-2024,5,Tottenham,74.0,61.0,66,38.0,27.0,39,36.0,34.0,27
2023-2024,6,Chelsea,77.0,63.0,63,44.0,26.0,37,33.0,37.0,26
2023-2024,7,Man United,57.0,58.0,60,31.0,28.0,33,26.0,30.0,27
2023-2024,8,Newcastle,85.0,62.0,60,49.0,22.0,40,36.0,40.0,20
2023-2024,9,West Ham,60.0,74.0,52,31.0,28.0,29,29.0,46.0,23
2023-2024,10,Crystal Palace,57.0,58.0,49,37.0,26.0,28,20.0,32.0,21
2023-2024,11,Brighton,55.0,62.0,48,30.0,27.0,30,25.0,35.0,18
2023-2024,12,Bournemouth,54.0,67.0,48,27.0,28.0,27,27.0,39.0,21
2023-2024,13,Everton,40.0,51.0,48,22.0,18.0,28,18.0,33.0,20
2023-2024,14,Fulham,55.0,61.0,47,31.0,24.0,29,24.0,37.0,18
2023-2024,15,Wolves,50.0,65.0,46,26.0,30.0,27,24.0,35.0,19
2023-2024,16,Brentford,56.0,65.0,39,29.0,34.0,22,27.0,31.0,17
2023-2024,17,Nott'm Forest,49.0,67.0,36,27.0,30.0,20,22.0,37.0,16
2023-2024,18,Luton,52.0,85.0,26,28.0,37.0,16,24.0,48.0,10
2023-2024,19,Burnley,41.0,78.0,24,19.0,43.0,10,22.0,35.0,14
2023-2024,20,Sheffield United,35.0,104.0,16,19.0,57.0,10,16.0,47.0,6
