temporada,posicion,equipo,goles_favor_total,goles_contra_total,puntos_total,goles_favor_local,goles_contra_local,puntos_local,goles_favor_visitante,goles_contra_visitante,puntos_visitante
2007-2008,2,Chelsea,65.0,26.0,85,36.0,13.0,43,29.0,13.0,42
2007-2008,3,Arsenal,74.0,31.0,83,37.0,11.0,47,37.0,20.0,36
2007-2008,4,Liverpool,67.0,28.0,76,43.0,13.0,42,24.0,15.0,34
2007-2008,5,Everton,55.0,33.0,65,34.0,17.0,37,21.0,16.0,28
2007-2008,6,Aston Villa,71.0,51.0,60,34.0,22.0,33,37.0,29.0,27
2007-2008,7,Blackburn,50.0,48.0,58,26.0,19.0,31,24.0,29.0,27
2007-2008,8,Portsmouth,48.0,40.0,57,24.0,14.0,29,24.0,26.0,28
2007-2008,9,Man City,45.0,53.0,55,28.0,20.0,37,17.0,33.0,18
2007-2008,10,West Ham,42.0,50.0,49,24.0,24.0,28,18.0,26.0,21
2007-2008,11,Tottenham,66.0,61.0,46,46.0,34.0,29,20.0,27.0,17
2007-2008,12,Newcastle,45.0,65.0,43,25.0,26.0,29,20.0,39.0,14
2007-2008,13,Middlesbrough,43.0,53.0,42,27.0,23.0,26,16.0,30.0,16
2007-2008,14,Wigan,34.0,51.0,40,21.0,17.0,29,13.0,34.0,11
2007-2008,15,Sunderland,36.0,59.0,39,23.0,21.0,30,13.0,38.0,9
2007-2008,16,Bolton,36.0,54.0,37,23.0,18.0,26,13.0,36.0,11
2007-2008,17,Reading,41.0,66.0,36,19.0,25.0,26,22.0,41.0,10
2007-2008,18,Fulham,38.0,60.0,36,22.0,31.0,20,16.0,29.0,16
2007-2008,19,Birmingham,46.0,62.0,35,30.0,23.0,26,16.0,39.0,9
2007-2008,20,Derby,20.0,89.0,11,12.0,43.0,8,8.0,46.0,3
2008-2009,1,Man United,68.0,24.0,90,43.0,13.0,50,25.0,11.0,40
2008-2009,2,Liverpool,77.0,27.0,86,41.0,13.0,43,36.0,14.0,43
2008-2009,3,Chelsea,68.0,24.0,83,33.0,12.0,39,35.0,12.0,44
2008-2009,4,Arsenal,68.0,37.0,72,31.0,16.0,38,37.0,21.0,34
2008-2009,5,Everton,55.0,37.0,63,31.0,20.0,30,24.0,17.0,33
2008-2009,6,Aston Villa,54.0,48.0,62,27.0,21.0,30,27.0,27.0,32
2008-2009,7,Fulham,39.0,34.0,53,28.0,16.0,36,11.0,18.0,17
2008-2009,8,West Ham,42.0,45.0,51,23.0,22.0,29,19.0,23.0,22
2008-2009,9,Tottenham,45.0,45.0,51,21.0,10.0,35,24.0,35.0,16
2008-2009,10,Man City,58.0,50.0,50,40.0,18.0,39,18.0,32.0,11
2008-2009,11,Stoke,38.0,55.0,45,22.0,15.0,35,16.0,40.0,10
2008-2009,12,Wigan,34.0,45.0,45,17.0,18.0,29,17.0,27.0,16
2008-2009,13,Bolton,41.0,53.0,41,21.0,21.0,26,20.0,32.0,15
2008-2009,14,Blackburn,40.0,60.0,41,22.0,23.0,25,18.0,37.0,16
2008-2009,15,Portsmouth,38.0,57.0,41,26.0,29.0,27,12.0,28.0,14
2008-2009,16,Sunderland,34.0,54.0,36,21.0,25.0,21,13.0,29.0,15
2008-2009,17,Hull,39.0,64.0,35,18.0,36.0,14,21.0,28.0,21
2008-2009,18,Newcastle,40.0,59.0,34,24.0,29.0,22,16.0,30.0,12
2008-2009,19,Middlesbrough,28.0,57.0,32,17.0,20.0,24,11.0,37.0,8
2008-2009,20,West Brom,36.0,67.0,32,26.0,33.0,24,10.0,34.0,8
2009-2010,1,Chelsea,103.0,32.0,86,68.0,14.0,52,35.0,18.0,34
2009-2010,2,Man United,86.0,28.0,85,52.0,12.0,49,34.0,16.0,36
2009-2010,3,Arsenal,83.0,41.0,75,48.0,15.0,47,35.0,26.0,28
2009-2010,4,Tottenham,67.0,41.0,70,40.0,12.0,44,27.0,29.0,26
2009-2010,5,Man City,73.0,45.0,67,41.0,20.0,40,32.0,25.0,27
2009-2010,6,Aston Villa,52.0,39.0,64,29.0,16.0,32,23.0,23.0,32
2009-2010,7,Liverpool,61.0,35.0,63,43.0,15.0,42,18.0,20.0,21
2009-2010,8,Everton,60.0,49.0,61,35.0,21.0,39,25.0,28.0,22
2009-2010,9,Blackburn,41.0,55.0,50,28.0,18.0,36,13.0,37.0,14
2009-2010,10,Birmingham,38.0,47.0,50,19.0,13.0,33,19.0,34.0,17
2009-2010,11,Stoke,34.0,48.0,47,24.0,21.0,27,10.0,27.0,20
2009-2010,12,Fulham,39.0,46.0,46,27.0,15.0,36,12.0,31.0,10
2009-2010,13,Sunderland,48.0,56.0,44,32.0,19.0,34,16.0,37.0,10
2009-2010,14,Bolton,42.0,67.0,39,26.0,31.0,24,16.0,36.0,15
2009-2010,15,Wolves,32.0,56.0,38,13.0,22.0,21,19.0,34.0,17
2009-2010,16,Wigan,37.0,79.0,36,19.0,24.0,25,18.0,55.0,11
2009-2010,17,West Ham,47.0,66.0,35,30.0,29.0,26,17.0,37.0,9
2009-2010,18,Burnley,42.0,82.0,30,25.0,30.0,26,17.0,52.0,4
2009-2010,19,Hull,34.0,75.0,30,22.0,29.0,24,12.0,46.0,6
2009-2010,20,Portsmouth,34.0,66.0,28,24.0,32.0,18,10.0,34.0,10
2010-2011,1,Man United,78.0,37.0,80,49.0,12.0,55,29.0,25.0,25
2010-2011,2,Chelsea,69.0,33.0,71,39.0,13.0,45,30.0,20.0,26
2010-2011,3,Man City,60.0,33.0,71,34.0,12.0,43,26.0,21.0,28
2010-2011,4,Arsenal,72.0,43.0,68,33.0,15.0,37,39.0,28.0,31
2010-2011,5,Tottenham,55.0,46.0,62,30.0,19.0,36,25.0,27.0,26
2010-2011,6,Liverpool,59.0,44.0,58,37.0,14.0,40,22.0,30.0,18
2010-2011,7,Everton,51.0,45.0,54,31.0,23.0,34,20.0,22.0,20
2010-2011,8,Fulham,49.0,43.0,49,30.0,23.0,31,19.0,20.0,18
2010-2011,9,Aston Villa,48.0,59.0,48,26.0,19.0,31,22.0,40.0,17
2010-2011,10,Sunderland,45.0,56.0,47,25.0,27.0,26,20.0,29.0,21
2010-2011,11,West Brom,56.0,71.0,47,30.0,30.0,30,26.0,41.0,17
2010-2011,12,Bolton,52.0,56.0,46,34.0,24.0,35,18.0,32.0,11
2010-2011,13,Newcastle,56.0,57.0,46,41.0,27.0,26,15.0,30.0,20
2010-2011,14,Stoke,46.0,48.0,46,31.0,18.0,34,15.0,30.0,12
2010-2011,15,Blackburn,46.0,59.0,43,22.0,16.0,28,24.0,43.0,15
2010-2011,16,Wigan,40.0,61.0,42,22.0,34.0,23,18.0,27.0,19
2010-2011,17,Wolves,46.0,66.0,40,30.0,30.0,28,16.0,36.0,12
2010-2011,18,Birmingham,37.0,58.0,39,19.0,22.0,26,18.0,36.0,13
2010-2011,19,Blackpool,55.0,78.0,39,30.0,37.0,20,25.0,41.0,19
2010-2011,20,West Ham,43.0,70.0,33,24.0,31.0,20,19.0,39.0,13
2011-2012,1,Man City,93.0,29.0,89,55.0,12.0,55,38.0,17.0,34
2011-2012,2,Man United,89.0,33.0,89,52.0,19.0,47,37.0,14.0,42
2011-2012,3,Arsenal,74.0,49.0,70,39.0,17.0,40,35.0,32.0,30
2011-2012,4,Tottenham,66.0,41.0,69,39.0,17.0,42,27.0,24.0,27
2011-2012,5,Newcastle,56.0,51.0,65,29.0,17.0,38,27.0,34.0,27
2011-2012,6,Chelsea,65.0,46.0,64,41.0,24.0,39,24.0,22.0,25
2011-2012,7,Everton,50.0,40.0,56,28.0,15.0,33,22.0,25.0,23
2011-2012,8,Liverpool,47.0,40.0,52,24.0,16.0,27,23.0,24.0,25
2011-2012,9,Fulham,48.0,51.0,52,36.0,26.0,35,12.0,25.0,17
2011-2012,10,Norwich,52.0,66.0,47,28.0,30.0,27,24.0,36.0,20
2011-2012,11,West Brom,45.0,52.0,47,21.0,22.0,21,24.0,30.0,26
2011-2012,12,Swansea,44.0,51.0,47,27.0,18.0,31,17.0,33.0,16
2011-2012,13,Sunderland,45.0,46.0,45,26.0,17.0,28,19.0,29.0,17
2011-2012,14,Stoke,36.0,53.0,45,25.0,20.0,29,11.0,33.0,16
2011-2012,15,Wigan,42.0,62.0,43,22.0,27.0,22,20.0,35.0,21
2011-2012,16,Aston Villa,37.0,53.0,38,20.0,25.0,19,17.0,28.0,19
2011-2012,17,QPR,43.0,66.0,37,24.0,25.0,26,19.0,41.0,11
2011-2012,18,Bolton,46.0,77.0,36,23.0,39.0,16,23.0,38.0,20
2011-2012,19,Blackburn,48.0,78.0,31,26.0,33.0,19,22.0,45.0,12
2011-2012,20,Wolves,40.0,82.0,25,19.0,43.0,12,21.0,39.0,13
2012-2013,1,Man United,86.0,43.0,89,45.0,19.0,48,41.0,24.0,41
2012-2013,2,Man City,66.0,34.0,78,41.0,15.0,45,25.0,19.0,33
2012-2013,3,Chelsea,75.0,39.0,75,41.0,16.0,41,34.0,23.0,34
2012-2013,4,Arsenal,72.0,37.0,73,47.0,23.0,38,25.0,14.0,35
2012-2013,5,Tottenham,66.0,46.0,72,29.0,18.0,38,37.0,28.0,34
2012-2013,6,Everton,55.0,40.0,63,33.0,17.0,42,22.0,23.0,21
2012-2013,7,Liverpool,71.0,43.0,61,33.0,16.0,33,38.0,27.0,28
2012-2013,8,West Brom,53.0,57.0,49,32.0,25.0,31,21.0,32.0,18
2012-2013,9,West Ham,45.0,53.0,46,34.0,22.0,33,11.0,31.0,13
2012-2013,10,Swansea,47.0,51.0,46,28.0,26.0,26,19.0,25.0,20
2012-2013,11,Norwich,41.0,58.0,44,25.0,20.0,31,16.0,38.0,13
2012-2013,12,Fulham,50.0,60.0,43,28.0,30.0,24,22.0,30.0,19
2012-2013,13,Stoke,34.0,45.0,42,21.0,22.0,28,13.0,23.0,14
2012-2013,14,Aston Villa,47.0,69.0,41,23.0,28.0,20,24.0,41.0,21
2012-2013,15,Newcastle,45.0,68.0,41,24.0,31.0,28,21.0,37.0,13
2012-2013,16,Southampton,49.0,60.0,41,26.0,24.0,25,23.0,36.0,16
2012-2013,17,Sunderland,41.0,54.0,39,20.0,19.0,23,21.0,35.0,16
2012-2013,18,Wigan,47.0,73.0,36,26.0,39.0,18,21.0,34.0,18
2012-2013,19,Reading,43.0,73.0,28,23.0,33.0,20,20.0,40.0,8
2012-2013,20,QPR,30.0,60.0,25,13.0,28.0,14,17.0,32.0,11
2013-2014,1,Man City,102.0,37.0,86,63.0,13.0,52,39.0,24.0,34
2013-2014,2,Liverpool,101.0,50.0,84,53.0,18.0,49,48.0,32.0,35
2013-2014,3,Chelsea,71.0,27.0,82,43.0,11.0,48,28.0,16.0,34
2013-2014,4,Arsenal,68.0,41.0,79,36.0,11.0,44,32.0,30.0,35
2013-2014,5,Everton,61.0,39.0,72,38.0,19.0,42,23.0,20.0,30
2013-2014,6,Tottenham,55.0,51.0,69,30.0,23.0,36,25.0,28.0,33
2013-2014,7,Man United,64.0,43.0,64,29.0,21.0,30,35.0,22.0,34
2013-2014,8,Southampton,54.0,46.0,56,32.0,23.0,30,22.0,23.0,26
2013-2014,9,Stoke,45.0,52.0,50,27.0,17.0,36,18.0,35.0,14
2013-2014,10,Newcastle,43.0,59.0,49,23.0,28.0,27,20.0,31.0,22
2013-2014,11,Crystal Palace,33.0,48.0,45,18.0,23.0,27,15.0,25.0,18
2013-2014,12,Swansea,54.0,54.0,42,33.0,26.0,23,21.0,28.0,19
2013-2014,13,West Ham,40.0,51.0,40,25.0,26.0,24,15.0,25.0,16
2013-2014,14,Aston Villa,39.0,61.0,38,22.0,29.0,21,17.0,32.0,17
2013-2014,15,Sunderland,41.0,60.0,38,21.0,27.0,18,20.0,33.0,20
2013-2014,16,Hull,38.0,53.0,37,20.0,21.0,25,18.0,32.0,12
2013-2014,17,West Brom,43.0,59.0,36,24.0,27.0,21,19.0,32.0,15
2013-2014,18,Norwich,28.0,62.0,33,17.0,18.0,24,11.0,44.0,9
2013-2014,19,Fulham,40.0,85.0,32,24.0,38.0,18,16.0,47.0,14
2013-2014,20,Cardiff,32.0,74.0,30,20.0,35.0,20,12.0,39.0,10
2014-2015,1,Chelsea,73.0,32.0,87,36.0,9.0,49,37.0,23.0,38
2014-2015,2,Man City,83.0,38.0,79,44.0,14.0,45,39.0,24.0,34
2014-2015,3,Arsenal,71.0,36.0,75,41.0,14.0,41,30.0,22.0,34
2014-2015,4,Man United,62.0,37.0,70,41.0,15.0,44,21.0,22.0,26
2014-2015,5,Tottenham,58.0,53.0,64,31.0,24.0,33,27.0,29.0,31
2014-2015,6,Liverpool,52.0,48.0,62,30.0,20.0,35,22.0,28.0,27
2014-2015,7,Southampton,54.0,33.0,60,37.0,13.0,37,17.0,20.0,23
2014-2015,8,Swansea,46.0,49.0,56,27.0,22.0,32,19.0,27.0,24
2014-2015,9,Stoke,48.0,45.0,54,32.0,22.0,33,16.0,23.0,21
2014-2015,10,Crystal Palace,47.0,51.0,48,21.0,27.0,21,26.0,24.0,27
2014-2015,11,West Ham,44.0,47.0,47,25.0,18.0,31,19.0,29.0,16
2014-2015,12,Everton,48.0,50.0,47,27.0,21.0,28,21.0,29.0,19
2014-2015,13,West Brom,38.0,51.0,44,24.0,26.0,25,14.0,25.0,19
2014-2015,14,Leicester,46.0,55.0,41,28.0,22.0,26,18.0,33.0,15
2014-2015,15,Newcastle,40.0,63.0,39,26.0,27.0,26,14.0,36.0,13
2014-2015,16,Aston Villa,31.0,57.0,38,18.0,25.0,21,13.0,32.0,17
2014-2015,17,Sunderland,31.0,53.0,38,16.0,27.0,20,15.0,26.0,18
2014-2015,18,Hull,33.0,51.0,35,19.0,24.0,20,14.0,27.0,15
2014-2015,19,Burnley,28.0,53.0,33,14.0,21.0,19,14.0,32.0,14
2014-2015,20,QPR,42.0,73.0,30,23.0,24.0,23,19.0,49.0,7
2015-2016,1,Leicester,68.0,36.0,81,35.0,18.0,42,33.0,18.0,39
2015-2016,2,Arsenal,65.0,36.0,71,31.0,11.0,40,34.0,25.0,31
2015-2016,3,Tottenham,69.0,35.0,70,35.0,15.0,36,34.0,20.0,34
2015-2016,4,Man United,49.0,35.0,66,27.0,9.0,41,22.0,26.0,25
2015-2016,5,Man City,71.0,41.0,66,47.0,21.0,38,24.0,20.0,28
2015-2016,6,Southampton,59.0,41.0,63,39.0,22.0,36,20.0,19.0,27
2015-2016,7,West Ham,65.0,51.0,62,34.0,26.0,34,31.0,25.0,28
2015-2016,8,Liverpool,63.0,50.0,60,33.0,22.0,32,30.0,28.0,28
2015-2016,9,Stoke,41.0,55.0,51,22.0,24.0,28,19.0,31.0,23
2015-2016,10,Chelsea,59.0,53.0,50,32.0,30.0,24,27.0,23.0,26
2015-2016,11,Swansea,42.0,52.0,47,20.0,20.0,30,22.0,32.0,17
2015-2016,12,Everton,59.0,55.0,47,35.0,30.0,23,24.0,25.0,24
2015-2016,13,Watford,40.0,50.0,45,20.0,19.0,24,20.0,31.0,21
2015-2016,14,West Brom,34.0,48.0,43,20.0,26.0,23,14.0,22.0,20
2015-2016,15,Crystal Palace,39.0,51.0,42,19.0,23.0,21,20.0,28.0,21
2015-2016,16,Bournemouth,45.0,67.0,42,23.0,34.0,20,22.0,33.0,22
2015-2016,17,Sunderland,48.0,62.0,39,23.0,20.0,24,25.0,42.0,15
