season,player_id,player_name,age,nationality,team,games_played,minutes,goals,assists,yellow_cards,red_cards
2020,48649,A. Zeqiri,25,Switzerland,Brighton,9.0,163.0,0.0,,0.0,0.0
2020,273757,A. Devine,20,England,Tottenham,0.0,0.0,0.0,,0.0,0.0
2020,284267,I. Price,21,Northern Ireland,Everton,0.0,0.0,0.0,,0.0,0.0
2020,162,T. Alderweireld,35,Belgium,Tottenham,25.0,2241.0,1.0,,2.0,0.0
2020,307,X. Shaqiri,33,Switzerland,Liverpool,14.0,552.0,0.0,2.0,2.0,0.0
2020,2728,K. Schmeichel,38,Denmark,Leicester,38.0,3420.0,0.0,,0.0,0.0
2020,3012,K. Grosicki,36,Poland,West Brom,3.0,149.0,0.0,1.0,0.0,0.0
2020,18745,Rúben Vinagre,25,Portugal,Wolves,2.0,172.0,0.0,,0.0,0.0
2020,18853,J. Riedewald,28,Netherlands,Crystal Palace,33.0,1816.0,2.0,,4.0,0.0
2020,19022,D. Odoi,36,Ghana,Fulham,3.0,270.0,0.0,,1.0,0.0
2020,19121,B. Douglas,35,Scotland,Leeds,0.0,0.0,0.0,,0.0,0.0
2020,19159,S. Johansen,33,Norway,Fulham,0.0,0.0,0.0,,0.0,0.0
2020,19166,D. Gayle,35,England,Newcastle,18.0,504.0,1.0,1.0,0.0,0.0
2020,19314,C. Carter-Vickers,27,USA,Tottenham,0.0,0.0,0.0,,0.0,0.0
2020,19550,B. Baningime,26,Congo DR,Everton,0.0,0.0,0.0,,0.0,0.0
2020,21999,B. Engels,30,Belgium,Aston Villa,0.0,0.0,0.0,,0.0,0.0
2020,50101,F. Diabaté,29,Mali,Leicester,0.0,0.0,0.0,,0.0,0.0
2020,105239,J. Jach,30,Poland,Crystal Palace,0.0,0.0,0.0,,0.0,0.0
2020,138850,R. Astley,23,Wales,Everton,0.0,0.0,0.0,,0.0,0.0
2020,152964,Christian Marques,21,Portugal,Wolves,0.0,0.0,0.0,,0.0,0.0
2020,152974,B. Koumetio,22,France,Liverpool,0.0,0.0,0.0,,0.0,0.0
2020,153417,S. Jasper,23,Bulgaria,Fulham,0.0,0.0,0.0,,0.0,0.0
2020,204042,W. Ferry,24,Republic of Ireland,Southampton,0.0,0.0,0.0,,0.0,0.0
2020,1374,I. Slimani,36,Algeria,Leicester,1.0,19.0,0.0,,0.0,0.0
2020,2930,J. Butland,31,England,Crystal Palace,1.0,90.0,0.0,,0.0,0.0
2020,151754,L. Clarkson,23,England,Liverpool,0.0,0.0,0.0,,0.0,0.0
2020,153403,A. Jankewitz,23,Switzerland,Southampton,2.0,3.0,0.0,,0.0,1.0
2020,278116,T. Maswanhise,22,Zimbabwe,Leicester,0.0,0.0,0.0,,0.0,0.0
